id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,,teamName
2772951803,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5497727583,194,ezviixcyaaj162saxs2yl27s9,5497727585,197,25288,5497634059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5497634057,130,4,5497634053,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5497634061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5497634051,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, bkwxem45cf48k14euwqe7rs44, cjll1xrw3xulnl23c9tlf6rys, 4ftlhtels58lyzfluwofzwxuy, 2szgrzcosfeifh664tgt3mfvt, abr79wsl0folgkyvl821ggs2c, 2wl6h1rlrfnn2mr65vuo3t815, awsod0zmnrukk21d4882ji7e1, cd5napttmwk5o9gxw3cbb4ted, afxjicw89683nlpms9yy5x51x, 4mxx1oxkiexm0ha34utcmb17t, 5kodjbsarkql4vhs126p2vhwq, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, 9s5uadkz3qy2nke745778dfys, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5497634055,59,"25, 23, 3, 21, 24, 2, 16, 8, 7, 19, 11, 4, 5, 9, 13, 14, 17, 18, 20, 31, 32, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772960877,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,5497683831,59,"13, 19, 21, 24, 4, 3, 23, 6, 12, 18, 7, 25, 5, 8, 10, 11, 14, 15, 16, 17, 22, 38",5497683835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5497683829,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5497683833,130,11,5497683837,194,eucssbf7wamb41y1gixfodivp,5497728351,197,1597,5497683839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5497683827,30,"5dfvefxvwj8kixbajluw25mtx, 70ursnnskhuf7zkltyrudquax, d6kzekcwqw0q8fq6wt6rmyusq, cmdeqxibr6holfqg17ap9uihg, eucssbf7wamb41y1gixfodivp, 6o76owze8y78ue9sb49g8kyz8, 66fshzi5f86wt1lwa4kdhiooa, e7del0ovpcpntqdgh8idxok4p, dtvmsnqlzn5672xb54zj8u7dh, 3702btkgwxf6tq92ouekd7ro5, eg2jk0f0l2l1gurwwn2au6nyt, 20o2dr1mdk18xhxmkujzgak89, 5f5e6wufz0x041bvqzor10k16, aqqd7tq7z6bj3wn3u3sz3uuqc, 9dc4qkvh0vk5kwymibji00kp, 4sojot9t32l4a6fm3e39xkcfd, 5b1q9bpe23j98eoy4fwi7ld5h, 2u8bekuidiwqz1gvb4vd3uhg, 4j3u6v01emo9nsel7uw00qsfe, arpoe2kjx9pbacgpuv17yl33d, 6kc8ieszwg6u00e3sa554y7yt, 9g3to6kcpmla26k0dbwuizspg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772968923,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,5497728531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772968917,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5497728513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772968945,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.3,5497728637,212,12.6,5497728633,140,39.8,5497728635,141,60.2,5497728631,56,Back,5497728639,213,2.58,5497728641,279,S,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772968953,4,1,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,1,41.3,61.4,5497728687,140,36.1,5497728693,213,2.03,5497728691,212,12.2,5497728685,56,Back,5497728689,141,77.5,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772968959,5,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,36.1,77.5,5497728739,213,4.7,5497728737,212,20.3,5497728733,140,35.8,5497728735,141,47.6,5497728731,56,Back,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772968971,6,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,35.8,47.6,5497728799,140,40.4,5497728803,212,16.2,5497728797,56,Back,5497728801,141,24.9,5497728805,213,5.02,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772968983,7,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,41.7,25.9,5497728853,141,37.3,5497728851,140,30.5,5497728855,212,14.1,5497728849,56,Back,5497728857,213,2.56,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969005,8,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,30.5,37.3,5497728927,213,1.81,5497728921,140,25.2,5497728925,212,23.3,5497728923,141,70.5,5497728919,56,Back,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969037,9,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,25.2,70.5,5497729097,212,20.7,5497729091,56,Back,5497729095,141,51.2,5497729093,140,10,5497729099,213,3.83,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969057,10,1,1,0,21,agh9ifb2mw3ivjusgedj7c3fe,1,10.3,46.6,5497729199,56,Back,5497729203,141,9.8,5497729201,140,19.8,5497729205,212,26.9,5497729197,155,,5497729207,213,5.09,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,Wojciech Szczesny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2772969041,3,45,1,0,22,ba5e91hjacvma2sjvixn00pjo,0,79,90.6,5497729125,56,Left,5497729301,233,11,5497729127,286,,,,,,,,,,,,,,,,,eg2jk0f0l2l1gurwwn2au6nyt,Sergi Canós,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2772969069,11,3,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,1,21,9.4,5497729281,233,3,5497729257,285,,5497729255,56,Back,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
