id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2765724219,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-15T19:02:02.391Z,2025-01-15T21:08:48Z,5458697815,197,25285,5458554843,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, ezviixcyaaj162saxs2yl27s9, awsod0zmnrukk21d4882ji7e1, bkwxem45cf48k14euwqe7rs44, eb3ci3a120om80v80mobsus8a, 4ftlhtels58lyzfluwofzwxuy, 4gq1u1mqg0qzekh1u5djleeax, abr79wsl0folgkyvl821ggs2c, 2wl6h1rlrfnn2mr65vuo3t815, bzgh5psb1janz9y3btpswngbu, 2szgrzcosfeifh664tgt3mfvt, afxjicw89683nlpms9yy5x51x, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4ggz7e009bq3yltc9o6mifbah, yhipl27kpzoq85sizfyzmvx0, 9s5uadkz3qy2nke745778dfys, 8xjdsfk5u7wph4o7h1w45dses",5458554845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5458554849,130,4,5458554847,59,"13, 23, 35, 21, 4, 2, 6, 8, 20, 19, 11, 3, 7, 9, 14, 16, 17, 18, 24, 26, 31, 32",5458554855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5458554851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5458554853,194,awsod0zmnrukk21d4882ji7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765725243,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2025-01-15T19:03:48.680Z,2025-01-15T20:00:21Z,5458560211,194,evpjdko94awbqbbl5wl9hto7p,5458560213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5458560207,130,8,5458560205,59,"25, 24, 15, 16, 5, 6, 36, 4, 8, 22, 7, 3, 10, 11, 12, 13, 18, 19, 23, 30, 46",5458560209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5458707445,197,254,5458560201,30,"2b7ankpb026wngkg3hgppev6y, 9226xt1t1m3fy4ob9l2r16609, 67qku7vyvbw76086eu05nowd1, 5o07mnpidavbe0hqoqzwgom50, evpjdko94awbqbbl5wl9hto7p, 2r4450bqkmpcf1ogmcfhvczmy, 30ed2aojjzmqigq6vkcrzc8pg, 3ub05nnpt9o7s387z6oj8vf56, 74z66mnnh5ipu13ihlqtun40k, 45s1v9805id09m5zkcylueod1, c4je25rkbg2n45xs5iurevhlh, 9ao7l82r1xd2rjnvv5u6plcr9, 96cbv23es0gucmd2v0qvk3iwa, a68fosxpgtyxj64ex9f6nget, 9ak3zczupeken1itsmkherbh1, 2r4ox2h5r7doo3ys9ynm2nbo5, 6aix9yu384pv1caanqiol231l, 38igxi5sn8v00xtciwhqb44fe, euy1s0xo19019kegzcpp1gez9, dh2wmerftfg5e3tydgykp4dg4, 7x4eg9m0ikbokn9x4nzyt2jv8",5458560203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765756927,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2025-01-15T20:03:08.207Z,2025-01-15T20:03:08Z,5458717601,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765756933,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-15T20:03:08.207Z,2025-01-15T20:03:10Z,5458717617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765756969,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50,50,2025-01-15T20:03:08.644Z,2025-01-15T20:06:29Z,5458717755,212,15.3,5458717759,279,S,5458717751,140,36.3,5458717753,141,42.5,5458717757,213,3.48,5458717749,56,Back,,,,,,,45s1v9805id09m5zkcylueod1,Isco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765756989,4,1,1,0,2,ah8dala7suqqkj04n2l8xz4zd,1,36.3,42.4,2025-01-15T20:03:11.201Z,2025-01-15T20:03:12Z,5458717865,213,3.12,5458717857,56,Back,5458717863,212,8.3,5458717859,140,28.4,5458717861,141,42.7,,,,,,,,,,5o07mnpidavbe0hqoqzwgom50,Sergi Altimira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757019,5,1,1,0,4,ah8dala7suqqkj04n2l8xz4zd,0,32.1,43.7,2025-01-15T20:03:12.769Z,2025-01-15T20:03:15Z,5458718009,141,66.5,5458718005,56,Center,5458718003,155,,5458718013,213,0.35,5458718011,212,44.9,5458718015,1,,5458718007,140,72.2,,,,evpjdko94awbqbbl5wl9hto7p,Marc Bartra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757037,3,44,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,1,28.2,29.5,2025-01-15T20:03:15.064Z,2025-01-15T20:13:46Z,5458718111,285,,5458718117,233,6,5458718109,56,Back,,,,,,,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765757029,6,44,1,0,6,ah8dala7suqqkj04n2l8xz4zd,0,71.8,70.5,2025-01-15T20:03:15.065Z,2025-01-15T20:13:47Z,5458718125,233,3,5458718047,56,Center,5458718051,286,,,,,,,,,,,,,,,,,74z66mnnh5ipu13ihlqtun40k,Vitor Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2765757093,4,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,0,26.5,21.6,2025-01-15T20:03:17.374Z,2025-01-15T20:03:19Z,5458718313,157,,5458718315,56,Center,5458718319,141,23.1,5458718317,140,54.9,5458718325,1,,5458718321,212,29.8,5458718323,213,0.03,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
