id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,teamName
2763505831,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-04T16:58:29.390Z,2025-01-04T18:03:10Z,5446608205,197,26091,5446583745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5446583751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5446583743,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ggz7e009bq3yltc9o6mifbah, awsod0zmnrukk21d4882ji7e1, cd5napttmwk5o9gxw3cbb4ted, 5kodjbsarkql4vhs126p2vhwq, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, 4ftlhtels58lyzfluwofzwxuy, cjll1xrw3xulnl23c9tlf6rys, bkwxem45cf48k14euwqe7rs44, bzgh5psb1janz9y3btpswngbu, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 4mxx1oxkiexm0ha34utcmb17t, 3hht0os2uzu234yq550i3fbe2, yhipl27kpzoq85sizfyzmvx0, 4jpwo30o4qp53k59oxvuj90k4, 9sanzxzkj52vz1mqj1d7g08b8",5446583747,59,"25, 23, 35, 24, 4, 5, 14, 21, 9, 8, 16, 2, 3, 6, 10, 13, 17, 26, 36, 42",5446693549,194,awsod0zmnrukk21d4882ji7e1,5446583749,130,8,5446583753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763507171,1,34,16,0,0,9fjpcl4jmz24ds108o5lo024s,1,0,0,2025-01-04T17:03:58.347Z,2025-01-04T18:23:03Z,5446643801,194,avxbbv2h9ftmna1o6yxjnyei1,5446591605,30,"3vh8xdd0k6shkj688ob3onp0q, 9v9zhs65de6zigmk06ot6sopg, bmnjg1hnnnnmt60o21kx4yane, 8yfp4gpkk48ipospi5dry5dnu, 2yjum0vitk1arc9prvxo3m7yt, cf64pex3kredaedib18gvwv6d, avxbbv2h9ftmna1o6yxjnyei1, 1dqmwnpnmnk8w4goyzsb6pmy2, 2mp7qvh6zu2f4wv4366p89d6, ergfv66meak78uj5vqtyenl61, pga2rvk4ndj6i1nw0wtwtbai, d25t6091n3mibtbnjyifeyqs4, 9iuu53ned82m20byt52dkvb6y, 7sfnxt3avqgxw60ygnbph3v11, 8kc8739zly0ku2tg8v8w6zgus, a3lm9kcgridleyu4d1pomf3mc, 6803lwhfrfnm5i5sxeokdanhm, trfpnezbt076ukjq4tid7jrp",5446591611,130,10,5446591609,59,"1, 7, 21, 5, 14, 22, 8, 3, 6, 10, 18, 2, 4, 9, 11, 12, 13, 17",5446696451,197,22585,5446591613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5446591607,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5446591615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763528989,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-04T18:00:18.146Z,2025-01-04T18:00:18Z,5446706227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763528993,2,32,1,0,0,9fjpcl4jmz24ds108o5lo024s,1,0,0,2025-01-04T18:00:18.146Z,2025-01-04T18:00:19Z,5446706233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529015,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.2,50.9,2025-01-04T18:00:18.147Z,2025-01-04T18:00:22Z,5446706325,212,15.6,5446706327,213,2.67,5446706321,140,36,5446706329,279,S,5446706323,141,61.4,5446706319,56,Back,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529019,4,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,1,36,61.4,2025-01-04T18:00:22.357Z,2025-01-04T18:00:24Z,5446706343,140,36.5,5446706345,141,85,5446706347,212,16.1,5446706349,213,1.54,5446706341,56,Back,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529031,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,36.5,85,2025-01-04T18:00:24.084Z,2025-01-04T18:00:26Z,5446706417,56,Back,5446706419,140,27.8,5446706423,212,15.3,5446706425,213,4.07,5446706421,141,67,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529051,6,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,27.3,65.2,2025-01-04T18:00:26.004Z,2025-01-04T18:00:29Z,5446706557,140,22.3,5446706555,56,Back,5446706559,141,33.9,5446706563,213,4.47,5446706561,212,21.9,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529079,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,19.4,36.1,2025-01-04T18:00:29.548Z,2025-01-04T18:00:32Z,5446706705,213,1.37,5446706701,141,74.5,5446706699,140,24.5,5446706703,212,26.7,5446706697,56,Back,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529089,8,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,24.8,76.4,2025-01-04T18:00:32.740Z,2025-01-04T18:00:34Z,5446706765,213,0.89,5446706761,141,94.2,5446706757,56,Back,5446706759,140,34.1,5446706763,212,15.6,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529101,9,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,35.8,94.4,2025-01-04T18:00:34.612Z,2025-01-04T18:00:37Z,5446706833,141,91.1,5446706829,56,Left,5446706831,140,53.1,5446706837,213,6.16,5446706835,212,18.3,,,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529123,10,1,1,0,18,agh9ifb2mw3ivjusgedj7c3fe,1,54.1,91.2,2025-01-04T18:00:36.964Z,2025-01-04T18:00:40Z,5446706957,56,Left,5446706959,140,57.2,5446706963,212,4,5446706965,213,0.63,5446706961,141,94.7,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529149,11,1,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,1,57.2,94.7,2025-01-04T18:00:40.469Z,2025-01-04T18:03:25Z,5446707119,56,Back,5446707117,196,,5446707129,1,,5446707121,140,31.3,5446707127,213,4.15,5446707123,141,30.7,5446707115,155,,5446707125,212,51.3,cjll1xrw3xulnl23c9tlf6rys,Fermin Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529187,12,1,1,0,26,agh9ifb2mw3ivjusgedj7c3fe,1,40.2,28,2025-01-04T18:00:44.341Z,2025-01-04T18:00:47Z,5446707309,140,44,5446707307,56,Back,5446707313,212,13.7,5446707315,213,5.01,5446707311,141,8.8,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529197,13,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,44.6,8.6,2025-01-04T18:00:47.125Z,2025-01-04T18:00:49Z,5446707381,212,12.9,5446707383,213,0.09,5446707379,141,10.3,5446707377,140,56.8,5446707375,56,Right,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529219,14,1,1,0,31,agh9ifb2mw3ivjusgedj7c3fe,1,57.8,10,2025-01-04T18:00:49.156Z,2025-01-04T18:00:52Z,5446707515,213,3.84,5446707511,141,5.6,5446707509,140,54.4,5446707513,212,4.7,5446707507,56,Right,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529221,15,50,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,38.8,10.1,2025-01-04T18:00:52.740Z,2025-01-04T18:00:57Z,5446707603,233,3,5446707519,56,Back,5446707521,286,,,,,,,,,,,,,,,,,5kodjbsarkql4vhs126p2vhwq,Pablo Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529239,3,7,1,0,34,9fjpcl4jmz24ds108o5lo024s,0,61.2,89.9,2025-01-04T18:00:52.741Z,2025-01-04T18:00:57Z,5446707597,233,15,5446707595,285,,5446707593,56,Left,,,,,,,,,,,,,,,,bmnjg1hnnnnmt60o21kx4yane,Sito Barrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529253,16,12,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,1,21.5,10.4,2025-01-04T18:00:57.060Z,2025-01-04T18:00:59Z,5446707703,140,49.6,5446707719,167,,5446707709,213,6.02,5446707701,56,Back,5446707707,212,30.6,5446707705,141,0,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529365,4,5,1,0,39,9fjpcl4jmz24ds108o5lo024s,1,50.4,101.6,2025-01-04T18:00:57.981Z,2025-01-04T18:07:04Z,5446708259,347,,5446708257,56,Left,5446708261,233,17,,,,,,,,,,,,,,,,bmnjg1hnnnnmt60o21kx4yane,Sito Barrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529255,17,5,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,0,49.6,-1.6,2025-01-04T18:00:57.981Z,2025-01-04T18:07:04Z,5446707711,56,Back,5446708265,233,4,5446707713,347,,,,,,,,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529377,5,1,1,0,57,9fjpcl4jmz24ds108o5lo024s,1,52.8,100,2025-01-04T18:01:15.835Z,2025-01-04T18:02:07Z,5446708323,141,87.4,5446708325,212,9.9,5446708317,107,,5446708319,56,Left,5446708327,213,4.65,5446708321,140,52.2,,,,,,,bmnjg1hnnnnmt60o21kx4yane,Sito Barrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529389,6,1,1,0,58,9fjpcl4jmz24ds108o5lo024s,0,52.2,87.4,2025-01-04T18:01:17.131Z,2025-01-04T18:02:02Z,5446708389,56,Left,5446708395,212,23.2,5446708397,213,0.23,5446708391,140,73.7,5446708387,157,,5446708399,1,,5446708393,141,95.1,,,,pga2rvk4ndj6i1nw0wtwtbai,Javier Albín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529375,18,44,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,1,24.7,6.6,2025-01-04T18:01:18.421Z,2025-01-04T18:12:54Z,5446708473,233,7,5446708313,285,,5446708311,56,Back,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529395,7,44,1,1,0,9fjpcl4jmz24ds108o5lo024s,0,75.3,93.4,2025-01-04T18:01:18.422Z,2025-01-04T18:12:54Z,5446708479,233,18,5446708431,286,,5446708429,56,Left,,,,,,,,,,,,,,,,ergfv66meak78uj5vqtyenl61,Ander El Haddadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529381,19,1,1,1,0,agh9ifb2mw3ivjusgedj7c3fe,0,22,9.5,2025-01-04T18:01:18.821Z,2025-01-04T18:01:19Z,5446708355,213,6.03,5446708347,56,Back,5446708349,140,24.5,5446708353,212,2.7,5446708345,3,,5446708351,141,8.5,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529411,8,61,1,1,1,9fjpcl4jmz24ds108o5lo024s,1,73.7,95.1,2025-01-04T18:01:19.336Z,2025-01-04T18:07:16Z,5446708487,56,Left,,,,,,,,,,,,,,,,,,,,,,ergfv66meak78uj5vqtyenl61,Ander El Haddadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529417,9,5,1,1,2,9fjpcl4jmz24ds108o5lo024s,0,73.2,102,2025-01-04T18:01:20.293Z,2025-01-04T18:07:04Z,5446708515,347,,5446708535,233,20,5446708513,56,Left,,,,,,,,,,,,,,,,9v9zhs65de6zigmk06ot6sopg,Hugo Bautista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
2763529397,20,5,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,26.8,-2,2025-01-04T18:01:20.293Z,2025-01-04T18:07:04Z,5446708433,56,Back,5446708435,347,,5446708517,233,9,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529461,21,1,1,1,8,agh9ifb2mw3ivjusgedj7c3fe,0,26.7,0,2025-01-04T18:01:26.757Z,2025-01-04T18:01:28Z,5446708665,1,,5446708659,141,15.2,5446708651,107,,5446708663,213,0.54,5446708661,212,22.5,5446708653,56,Back,5446708655,140,45.1,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2763529463,10,8,1,1,11,9fjpcl4jmz24ds108o5lo024s,1,59.4,82.7,2025-01-04T18:01:30.107Z,2025-01-04T18:01:30Z,5446708683,15,,5446708667,56,Left,,,,,,,,,,,,,,,,,,,1dqmwnpnmnk8w4goyzsb6pmy2,Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbastro
