id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,,teamName
2781006577,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5541546997,197,25285,5541546995,194,ezviixcyaaj162saxs2yl27s9,5541546989,59,"25, 23, 3, 8, 2, 5, 19, 21, 7, 20, 11, 4, 6, 9, 16, 13, 18, 17, 24, 31, 32, 35",5541546993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5541546991,130,8,5541546985,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, 2szgrzcosfeifh664tgt3mfvt, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, awsod0zmnrukk21d4882ji7e1, eb3ci3a120om80v80mobsus8a, afxjicw89683nlpms9yy5x51x, cjll1xrw3xulnl23c9tlf6rys, 4mxx1oxkiexm0ha34utcmb17t, 9f0jk3wgmlnnmnqrdkh4gnpt6, 3hht0os2uzu234yq550i3fbe2, 4ggz7e009bq3yltc9o6mifbah, 9s5uadkz3qy2nke745778dfys, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5541546999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5541546987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781006967,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,5541549325,130,2,5541549323,59,"1, 14, 21, 5, 2, 15, 22, 8, 19, 7, 4, 13, 31, 16, 20, 23, 24, 11, 12, 9, 17, 10",5541549333,194,548jzfl9higq44w9bgqvcjh05,5541549321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5541549335,197,24707,5541549329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5541549317,30,"7drgir9lcwfst8vxz07jboe6t, amxunh6enoc99r07cp7qt621h, 40gxfsz7bgrkdudqewlpxzyzt, 3ga7qj3h3dbmqucxmaxhmrjdh, 548jzfl9higq44w9bgqvcjh05, 3gsprcdyogabeb8lr2y0bmytx, 5es43b4a7fv0lkmp63dj439ey, 9e7ybe0nsu3byq2tteey3zuy2, 9ikkuxd19avliz1khcrm82gyy, 716n1970vi9rvw5b4w9qmjfth, c83h08n0vnjvfgglyefy03h0p, 2yt9oajv9dkbju8tgy1g2nmqd, d0di86falsvqnl1c4ev98my5m, ieu0x9fy8hpqyztdjg8bgpnt, 59234as8h70fejyfm7492np3p, cj3dik1dqyo2nf1jgmyn471sl, 6xulax65kp4aid70nk7g5jr2t, ejcyvgclry4g5pc2rtptifphx, 7yngrviue4iji7w0f9ql07j6x, 6akzpi6rd6qq0ke07ojnhpoet, bqmhsb2bsuuuijw2ci39l01k9, 6fdvv4zs5pl6qj7pp6tsp5iad",5541549337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056415,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5541822317,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781056411,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,5541822289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056441,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,49.9,49.5,5541822439,56,Back,5541822449,279,S,5541822441,140,36.2,5541822443,141,39.1,5541822445,212,16,5541822447,213,3.6,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056469,4,1,1,0,2,4ku8o6uf87yd8iecdalipo6wd,1,36.2,35.6,5541822621,141,16.4,5541822625,213,4.58,5541822617,56,Back,5541822619,140,34.5,5541822623,212,13.2,,,,,,,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056509,5,1,1,0,4,4ku8o6uf87yd8iecdalipo6wd,1,32.5,17.6,5541822887,140,50.7,5541822891,212,20.5,5541822885,56,Right,5541822889,141,6.8,5541822893,213,5.92,,,,,,,,,,amxunh6enoc99r07cp7qt621h,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056489,3,83,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,0,50.3,89.3,5541823329,399,716n1970vi9rvw5b4w9qmjfth,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2781056547,6,1,1,0,8,4ku8o6uf87yd8iecdalipo6wd,1,44.2,10.8,5541823105,212,23.5,5541823097,155,,5541823103,141,45.4,5541823107,213,1.55,5541823099,56,Back,5541823101,140,44.7,,,,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056623,7,1,1,0,10,4ku8o6uf87yd8iecdalipo6wd,1,46.1,46.8,5541823557,212,21.5,5541823555,141,57.2,5541823553,140,65.4,5541823551,56,Center,5541823559,213,0.34,5541823549,155,,,,,,,,9e7ybe0nsu3byq2tteey3zuy2,Pablo Barrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056677,8,1,1,0,14,4ku8o6uf87yd8iecdalipo6wd,1,66.7,48.1,5541823815,141,19.3,5541823813,140,74.9,5541823811,56,Right,5541823819,213,5.13,5541823817,212,21.4,,,,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056727,9,1,1,0,17,4ku8o6uf87yd8iecdalipo6wd,1,76.7,20.3,5541825239,210,15,5541824081,212,22.6,5541825241,154,,5541824071,2,,5541824079,141,47.5,5541824075,56,Center,5541824073,155,,5541824083,213,0.96,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,1,5541824077,140,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056741,10,44,1,0,19,4ku8o6uf87yd8iecdalipo6wd,1,90,50.2,5541824179,56,Center,5541824223,233,4,5541824181,286,,,,,,,,,,,,,,,,,9ikkuxd19avliz1khcrm82gyy,J. Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2781056695,4,44,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,0,10,49.8,5541823895,285,,5541824241,233,10,5541823893,56,Back,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
