id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value,teamName
2795063007,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-02T18:19:21.937Z,2025-04-02T19:30:41Z,5618666785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618666779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618666773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5618666777,130,8,5618666781,194,ezviixcyaaj162saxs2yl27s9,5618666783,197,25288,5618666775,59,"25, 23, 3, 8, 2, 5, 19, 21, 7, 16, 11, 4, 6, 9, 10, 13, 14, 18, 24, 31, 32, 35",5618666771,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795064769,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2025-04-02T18:24:49.045Z,2025-04-02T19:37:08Z,5618676531,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5618676535,130,10,5618676529,30,"7drgir9lcwfst8vxz07jboe6t, amxunh6enoc99r07cp7qt621h, cj3dik1dqyo2nf1jgmyn471sl, 6xulax65kp4aid70nk7g5jr2t, 548jzfl9higq44w9bgqvcjh05, bvw1jgmhfyc896gfi6uj0skwl, 3ga7qj3h3dbmqucxmaxhmrjdh, 9e7ybe0nsu3byq2tteey3zuy2, 716n1970vi9rvw5b4w9qmjfth, 9ikkuxd19avliz1khcrm82gyy, 5es43b4a7fv0lkmp63dj439ey, 2yt9oajv9dkbju8tgy1g2nmqd, 3gsprcdyogabeb8lr2y0bmytx, ieu0x9fy8hpqyztdjg8bgpnt, 59234as8h70fejyfm7492np3p, 40gxfsz7bgrkdudqewlpxzyzt, c83h08n0vnjvfgglyefy03h0p, b9kfek16otvdorssn0wzkb36d, bqmhsb2bsuuuijw2ci39l01k9, 6akzpi6rd6qq0ke07ojnhpoet, ejcyvgclry4g5pc2rtptifphx, 7yngrviue4iji7w0f9ql07j6x",5618676545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618676537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618676539,194,548jzfl9higq44w9bgqvcjh05,5618676533,59,"1, 14, 23, 24, 2, 3, 5, 8, 7, 19, 22, 13, 15, 16, 20, 21, 4, 6, 17, 9, 11, 12",5618676541,197,24706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795106849,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2025-04-02T19:31:52.725Z,2025-04-02T19:31:54Z,5618908727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid
2795106837,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-02T19:31:52.725Z,2025-04-02T19:31:52Z,5618908665,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795106883,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-04-02T19:31:52.726Z,2025-04-02T19:31:55Z,5618908927,212,11.5,5618908921,56,Back,5618908931,279,S,5618908923,140,39.4,5618908929,213,3.38,5618908925,141,46,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795106913,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,38.2,45.7,2025-04-02T19:31:55.655Z,2025-04-02T19:31:58Z,5618909103,141,68.2,5618909107,213,1.83,5618909099,56,Back,5618909105,212,15.8,5618909101,140,34.4,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795106933,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,36.6,67.2,2025-04-02T19:31:58.119Z,2025-04-02T19:32:00Z,5618909219,212,25.3,5618909213,56,Back,5618909217,141,30.4,5618909221,213,4.57,5618909215,140,33.2,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795106959,6,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,32.8,28.8,2025-04-02T19:31:59.943Z,2025-04-02T19:32:02Z,5618909335,140,33.4,5618909339,212,13.8,5618909333,56,Back,5618909341,213,4.76,5618909337,141,8.6,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795106987,7,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,33.4,8.6,2025-04-02T19:32:01.895Z,2025-04-02T19:32:04Z,5618909507,212,15,5618909501,56,Back,5618909509,213,2.04,5618909503,140,27,5618909505,141,28.3,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2795107005,8,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,27.4,29.7,2025-04-02T19:32:04.438Z,2025-04-02T19:32:06Z,5618909589,213,5.04,5618909585,212,14.3,5618909573,56,Back,5618909579,141,9.8,5618909575,140,31.8,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
