id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName
2806509693,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-04-26T18:14:43.548Z,2025-04-26T21:11:21Z,5681633459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5681633461,59,"1, 17, 23, 14, 35, 22, 11, 8, 7, 5, 19, 13, 26, 15, 16, 4, 18, 9, 20, 10, 21",5681633469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5681633463,130,8,5681633465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5682099791,197,239,5681633467,194,bf2pf3hs8gcvub4ivlve12ymt,5681633457,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806541279,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-26T18:51:43.040Z,2025-04-26T21:01:42Z,5681795869,194,ezviixcyaaj162saxs2yl27s9,5682105075,197,25285,5681795859,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, 2szgrzcosfeifh664tgt3mfvt, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 2e55g4q93y382cg7h0yk5rtud, awsod0zmnrukk21d4882ji7e1, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 4mxx1oxkiexm0ha34utcmb17t, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses",5681795861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5681795871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5681795867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5681795863,59,"25, 23, 35, 8, 2, 5, 19, 21, 7, 20, 11, 1, 4, 6, 10, 13, 14, 15, 16, 18, 24, 32",5681795865,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599193,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-04-26T20:00:50.266Z,2025-04-26T20:00:51Z,5682114069,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2806599191,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-26T20:00:50.266Z,2025-04-26T20:00:50Z,5682114067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599221,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-04-26T20:00:50.267Z,2025-04-26T20:00:53Z,5682114185,213,3.12,5682114177,56,Back,5682114179,140,37,5682114183,212,13.7,5682114187,279,S,5682114181,141,50.4,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599257,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,41.8,52.5,2025-04-26T20:00:52.951Z,2025-04-26T20:00:58Z,5682114407,56,Back,5682114413,212,13.4,5682114415,213,2,5682114409,140,36.5,5682114411,141,70.5,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599271,5,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,41.1,70.2,2025-04-26T20:00:58.039Z,2025-04-26T20:01:00Z,5682114515,212,24.5,5682114513,141,36.6,5682114517,213,4.35,5682114509,56,Back,5682114511,140,32.8,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599293,6,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,32.1,40.1,2025-04-26T20:01:00.135Z,2025-04-26T20:01:02Z,5682114675,213,1.31,5682114673,212,20.6,5682114667,56,Back,5682114669,140,37.2,5682114671,141,69.3,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599309,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,34.9,61.8,2025-04-26T20:01:02.215Z,2025-04-26T20:01:04Z,5682114789,56,Back,5682114795,212,20.3,5682114793,141,32.7,5682114797,213,4.48,5682114791,140,30.4,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2806599329,8,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,34.7,29.5,2025-04-26T20:01:04.424Z,2025-04-26T20:01:08Z,5682114937,140,38.6,5682114941,212,14.6,5682114939,141,8.9,5682114935,56,Back,5682114943,213,5,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
