id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,teamName
2739449625,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2024-10-26T17:38:24.235Z,2024-10-26T19:03:49Z,5315593885,130,2,5315593895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5315593883,59,"13, 17, 23, 8, 3, 22, 5, 14, 7, 9, 6, 26, 34, 10, 15, 16, 18, 19, 20, 21",5315593893,197,239,5315593889,194,bf2pf3hs8gcvub4ivlve12ymt,5315593879,30,"38bp85766w04a0nuulq5fiig9, bf2pf3hs8gcvub4ivlve12ymt, 6q69l3ppqfqbryjubcrujfi6t, 1i9wi65k2foqwudeqiyih87hl, 8wvkrrbqqthuwda8twg03yuax, 6fzbp94hf19ysotdassrqdc5x, e83ula4wockmc2xid7185kcq2, aipyotc87m5bdvmvizd5n69k9, b4witgokm49tidm1a83qcvbop, 5e9ilgrz3tzg9kd1gk3yvrahh, en2c7z1raqmcwee78297pbnu2, 42mke5h9m4g7idv9q6ltuhkwk, 3krfyio6dlb6gkoggsmqwkj6c, diod1hv5hv7v7z7mfleev1txx, 39gif4xfy8xddarasbsad56ok, 14qv8npo5alwnb5dud8x82ln8, eihwzqtt27l2l8iu990h68edx, i48mf81fxn2af1xxjzfi8gr9, 39c5g6782qlrtw55fsre7exnt, 3jln1gzc0859ymphvq83i0mp5",5315593881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5315593887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739451927,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-26T17:40:24.876Z,2024-10-26T17:40:26Z,5315606259,197,25285,5315606253,130,8,5315606249,59,"13, 23, 3, 8, 2, 5, 19, 17, 9, 16, 11, 25, 31, 6, 10, 14, 18, 20, 21, 32, 35, 36",5315606245,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, cjll1xrw3xulnl23c9tlf6rys, 2wl6h1rlrfnn2mr65vuo3t815, 6ofu6yc2qwp5ii9cerdq1tk9h, 9s5uadkz3qy2nke745778dfys, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, ezviixcyaaj162saxs2yl27s9, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4",5315606255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5315606247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5315606261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5315606257,194,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510363,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-26T19:01:46.060Z,2024-10-26T19:01:47Z,5315935829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510355,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2024-10-26T19:01:46.060Z,2024-10-27T05:31:52Z,5315935791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510391,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50,50,2024-10-26T19:01:46.103Z,2024-10-27T07:45:50Z,5315935945,56,Back,5315935955,279,S,5315935953,213,3.02,5315935949,141,54.2,5315935947,140,27.8,5315935951,212,23.5,5317715335,178,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510423,4,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,0,28,52.3,2024-10-26T19:01:49.755Z,2024-10-27T07:46:01Z,5315936141,157,,5315936147,141,25.3,5315936151,213,5.93,5315936145,140,75.6,5315936149,212,53.2,5317716077,178,,5315936143,56,Center,5315936153,1,,6fzbp94hf19ysotdassrqdc5x,A. Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510439,3,44,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,23,75.3,2024-10-26T19:01:54.573Z,2024-10-27T09:18:21Z,5315936189,56,Back,5315936191,285,,5315936197,233,5,,,,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510429,5,44,1,0,8,3kq9cckrnlogidldtdie2fkbl,0,77,24.7,2024-10-26T19:01:54.574Z,2024-10-27T07:46:12Z,5315936173,56,Center,5315936175,286,,5315936201,233,3,,,,,,,,,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,Lucas Vázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510447,4,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,20.8,76.3,2024-10-26T19:01:54.699Z,2024-10-27T09:18:21Z,5315936259,141,84.1,5315936253,3,,5315936263,213,1.08,5315936255,56,Back,5317716963,388,,5315936261,212,6,5315936257,140,23.5,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739510453,5,49,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,24.1,84.8,2024-10-26T19:01:56.171Z,2024-10-27T07:46:26Z,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
