id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/20/value,qualifier/19/value,qualifier/21/value,teamName
2743654329,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-03T14:10:17.295Z,2024-11-03T15:12:31Z,5338948443,197,25285,5338488313,30,"4mxx1oxkiexm0ha34utcmb17t, 8xjdsfk5u7wph4o7h1w45dses, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 6ofu6yc2qwp5ii9cerdq1tk9h, yhipl27kpzoq85sizfyzmvx0, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4",5338488315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5338488321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338488323,194,2wl6h1rlrfnn2mr65vuo3t815,5338488325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338488319,130,8,5338488317,59,"13, 32, 3, 8, 2, 5, 19, 17, 9, 20, 11, 25, 26, 6, 10, 14, 16, 18, 21, 23, 35, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743659613,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2024-11-03T14:13:13.939Z,2024-11-03T15:24:41Z,5338516225,194,e5qp6dh1prc55llew51zpy1gp,5338940253,197,270,5338516217,130,7,5338516207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5338516211,59,"1, 23, 22, 35, 4, 6, 12, 20, 7, 18, 17, 13, 33, 3, 9, 11, 14, 16, 24, 31, 37, 39, 40",5338516227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338516203,30,"5f8kjgsaabn2li5r7bvpebbsa, 7h0b81yjiiu356rycsakgd0yc, 5djkwcoflvxcv5oida6txfyp6, b7bcouznm395r2z5g33ehiiac, cddggachzf198p1yhq9owtofd, 6810qbng9pfg1bztczv11grmd, 6peka1v0xt2ctv0qtoaw9cslx, 9taxidttdt94nmvc3mqhqq0ut, e5qp6dh1prc55llew51zpy1gp, 1whtyw1adggpz4j1xp7sjbeg9, 59u1gn30f6bg5lr06zsglykq2, bglk6tokkpgjltpzljp1p345x, 1wylybleussatoxg8u6reao2y, eyhvr45vc1n690dxobcthmndh, 1o4lfwkyx28j63ara4ye4wjdg, 1ore4ght7ls393tcpbmah9dcl, 3nchjse4ej0qhilo395td7u1h, c23q56z612clw2oxpordhrwiy, 8b40ap862z6ynvmgah0vjces5, 1am59svvwz5idpdjq307dd5hw, a185wef6iz1nun1wry40jcgoa, 2qgfw5qgtjyhy5pg11f0l8yl0, 6vc06i2jjg3uz0bvluy7yr310",5338516221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743746891,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-03T15:18:16.116Z,2024-11-04T00:41:48Z,5338989211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747613,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2024-11-03T15:18:16.116Z,2024-11-03T15:18:50Z,5338993315,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743746957,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50.1,50,2024-11-03T15:18:16.177Z,2024-11-04T01:09:39Z,5338989567,56,Back,5338989569,140,44.2,5338989573,212,6.3,5338989575,213,2.98,5341362389,178,,5338989577,279,S,5338989571,141,51.5,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743746999,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,44.2,45.8,2024-11-03T15:18:18.263Z,2024-11-04T01:09:48Z,5338989767,213,4.43,5338989761,141,19.1,5341362573,178,,5338989765,212,18.9,5338989757,140,39.2,5338989751,56,Back,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747047,5,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,1,39.1,18.6,2024-11-03T15:18:20.962Z,2024-11-04T01:09:54Z,5341362725,178,,5338990047,56,Back,5338990051,140,30.3,5338990059,212,12.4,5338990061,213,2.41,5338990055,141,30.7,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747139,6,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,30.6,33.7,2024-11-03T15:18:23.311Z,2024-11-04T01:09:57Z,5338990561,213,1.3,5341362799,178,,5338990555,141,70.8,5338990553,140,37.3,5338990551,56,Back,5338990557,212,26.2,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747227,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,48.3,72.4,2024-11-03T15:18:27.785Z,2024-11-04T01:10:00Z,5338991023,212,29.5,5338991019,141,29.5,5338991017,140,44.3,5341362867,178,,5338991027,213,4.57,5338991015,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747263,8,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,47.3,30.4,2024-11-03T15:18:32.161Z,2024-11-04T01:10:04Z,5338991257,141,39.4,5341362965,178,,5338991259,212,11.4,5338991261,213,0.56,5338991255,140,56.5,5338991253,56,Center,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747323,9,1,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,56,36.7,2024-11-03T15:18:34.028Z,2024-11-04T01:10:10Z,5338991571,141,25.9,5341363063,178,,5338991577,213,4.08,5338991563,56,Center,5338991575,212,9.1,5338991567,140,50.9,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743747379,10,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,50.9,25.9,2024-11-03T15:18:35.442Z,2024-11-04T01:10:14Z,5338991921,141,44.6,5338991919,140,45.6,5338991917,56,Back,5338991923,212,13.9,5338991925,213,1.98,5341363101,178,,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
