id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/10/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,teamName
2750827189,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-23T18:51:14.074Z,2024-11-23T20:38:34Z,5377769583,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5377769581,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 3hht0os2uzu234yq550i3fbe2, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, 2wl6h1rlrfnn2mr65vuo3t815, 4ftlhtels58lyzfluwofzwxuy, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 4gq1u1mqg0qzekh1u5djleeax, 6ofu6yc2qwp5ii9cerdq1tk9h, 9s5uadkz3qy2nke745778dfys, bzgh5psb1janz9y3btpswngbu, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 8xjdsfk5u7wph4o7h1w45dses, 4jpwo30o4qp53k59oxvuj90k4, b0ebh3wi3lwieb1z04ajxjz84, 7h9rf5bjvnsj65rky23jgp2qc, 84ifgcsn9xuvyw4m4lrcf57v8",5377769595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5377769589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5377769585,59,"13, 23, 35, 17, 2, 5, 11, 8, 9, 6, 20, 25, 31, 3, 14, 16, 18, 21, 32, 36, 41, 34, 43",5377769587,130,8,5377769593,197,26091,5377769591,194,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2750828505,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2024-11-23T18:53:06.843Z,2024-11-23T20:19:12Z,5377777137,197,279,5377777127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5377777135,194,cs2yx3hiqjsb4i5ul2r5kmdat,5377777125,30,"8k88isvd2hwr5e4gn9oxzr2t, 79n0dyjagmleor1fpwl25qql0, c3sl9ajm4q424r4u37iath3hl, e3czx0nsuw10acnftbr8ud0bt, cksi669gcnskpytzh70a43it, 9i7lb16qty1t21bnc5h7skclx, daid84a2zbh8rasleahdp8nis, 64ctdbd0w5ikj0fkcuu9jdbhm, 1p0xp2onnys7jlru55vfgf1pm, cs2yx3hiqjsb4i5ul2r5kmdat, a35r6fa79ipqqktiff3uhz6j9, 59ndqnsvggsoek170rdqyd1w5, d12m2oz1lomkc1qxmpht38lat, 5ez2huoeh2g3ijpgr7m15lg5, 7lo14fnq32yyyqql6jws5w3xl, 3qrk8nw6nc8o96n7jr1az21ux, 9ksvo095xi2t4q4pvgxa836z8, 18mddnpa54ygoaefaj0c5obf9, 23oysjfutg5xy1f3o9bapnmxh, 6mgwcjden6vbuyrcexaxu9ogk, 3sy16pz110zmyq073ao24l1ck, 81fw03v34t2u3xnwq5gpdbpck, c60m17adgxbewkrzizwtzd91w",5377777129,59,"13, 32, 3, 8, 2, 20, 30, 6, 9, 10, 17, 1, 7, 11, 12, 15, 18, 21, 22, 23, 24, 25, 33",5377777139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5377777133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5377777131,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873151,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2024-11-23T20:00:11.388Z,2024-11-24T04:19:47Z,5378032311,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873157,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-23T20:00:11.388Z,2024-11-23T20:00:12Z,5378032355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2750873209,3,1,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,49.8,50.1,2024-11-23T20:00:11.431Z,2024-11-24T08:54:14Z,5378032629,212,17.2,5378032617,56,Back,5378032621,140,35.8,5378032633,213,2.6,5378032637,279,S,5378032625,141,63.1,5379326027,178,,,,,1p0xp2onnys7jlru55vfgf1pm,T. Douvikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873231,4,1,1,0,3,6f27yvbqcngegwsg2ozxxdj4,1,31.4,67.3,2024-11-23T20:00:14.818Z,2024-11-24T08:54:18Z,5378032739,56,Back,5379326039,178,,5378032741,140,15.2,5378032743,141,52.7,5378032747,213,3.67,5378032745,212,19.7,,,,,,,64ctdbd0w5ikj0fkcuu9jdbhm,I. Moriba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873253,5,1,1,0,6,6f27yvbqcngegwsg2ozxxdj4,1,15.2,52.5,2024-11-23T20:00:17.542Z,2024-11-24T08:54:22Z,5379326049,178,,5378032845,56,Back,5378032859,212,31.8,5378032861,213,1.18,5378032855,141,95.7,5378032849,140,26.7,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873269,6,1,1,0,9,6f27yvbqcngegwsg2ozxxdj4,1,26.2,94.8,2024-11-23T20:00:21.222Z,2024-11-24T08:54:28Z,5378032965,140,14.3,5378032967,141,50.1,5378032973,1,,5378032971,213,4.32,5379326053,178,,5378032961,155,,5378032963,56,Back,5378032969,212,32.9,c3sl9ajm4q424r4u37iath3hl,Óscar Mingueza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873343,7,1,1,0,12,6f27yvbqcngegwsg2ozxxdj4,1,14.3,50.1,2024-11-23T20:00:23.405Z,2024-11-24T08:54:36Z,5378033419,56,Back,5378033427,213,3.59,5378033425,212,12.7,5378033417,3,,5379326077,178,,5378033421,140,3.4,5378033423,141,42.1,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
2750873345,8,52,1,0,19,6f27yvbqcngegwsg2ozxxdj4,1,4.3,43.4,2024-11-23T20:00:30.716Z,2024-11-24T08:54:43Z,5379326083,178,,5378984679,376,,,,,,,,,,,,,,,,,,,,8k88isvd2hwr5e4gn9oxzr2t,Vicente Guaita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celta Vigo
