id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/15/value,assist,qualifier/18/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/17/value,teamName
2756123369,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2024-12-07T14:12:30.684Z,2024-12-07T19:12:31Z,5406557423,59,"25, 23, 15, 16, 5, 3, 9, 46, 8, 20, 10, 13, 6, 7, 11, 12, 19, 22, 24, 34, 38, 36",5406557419,30,"2b7ankpb026wngkg3hgppev6y, euy1s0xo19019kegzcpp1gez9, 67qku7vyvbw76086eu05nowd1, 5o07mnpidavbe0hqoqzwgom50, evpjdko94awbqbbl5wl9hto7p, 9ao7l82r1xd2rjnvv5u6plcr9, cuxm7t8cql3v06hqf18wvcul1, 7x4eg9m0ikbokn9x4nzyt2jv8, 74z66mnnh5ipu13ihlqtun40k, dhtb9gizk25k1u3h0b7xgy4tl, 96cbv23es0gucmd2v0qvk3iwa, 2r4ox2h5r7doo3ys9ynm2nbo5, 2r4450bqkmpcf1ogmcfhvczmy, c4je25rkbg2n45xs5iurevhlh, a68fosxpgtyxj64ex9f6nget, 9ak3zczupeken1itsmkherbh1, 38igxi5sn8v00xtciwhqb44fe, 45s1v9805id09m5zkcylueod1, 9226xt1t1m3fy4ob9l2r16609, 3t777wlfc7hoepgiwwkuhoqok, 13uxs8820y7mi31fsw1i0qxw4, 30ed2aojjzmqigq6vkcrzc8pg",5406557425,130,8,5406557427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5406557421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5406557429,194,evpjdko94awbqbbl5wl9hto7p,5406911663,197,254,5406557431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2756135547,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-12-07T14:24:17.388Z,2024-12-07T15:16:40Z,5406625587,59,"13, 23, 3, 17, 2, 5, 8, 20, 9, 19, 11, 25, 26, 6, 7, 14, 16, 18, 21, 24, 32, 35, 36",5406625593,194,2wl6h1rlrfnn2mr65vuo3t815,5406625595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5406625591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5406625585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5406625581,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 3hht0os2uzu234yq550i3fbe2, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, 4ftlhtels58lyzfluwofzwxuy, 4gq1u1mqg0qzekh1u5djleeax, afxjicw89683nlpms9yy5x51x, abr79wsl0folgkyvl821ggs2c, 2wl6h1rlrfnn2mr65vuo3t815, 6ofu6yc2qwp5ii9cerdq1tk9h, yhipl27kpzoq85sizfyzmvx0, eb3ci3a120om80v80mobsus8a, 2szgrzcosfeifh664tgt3mfvt, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4",5406992815,197,25285,5406625589,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2756209073,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2024-12-07T15:17:24.763Z,2024-12-08T02:07:49Z,5407001363,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2756209143,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-12-07T15:17:24.763Z,2024-12-07T15:17:26Z,5407001701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2756209181,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50,49.9,2024-12-07T15:17:24.812Z,2024-12-08T07:06:44Z,5407001907,141,32.9,5407001913,279,S,5407001911,213,3.7,5410029617,178,,5407001905,140,32.5,5407001903,56,Back,5407001909,212,21.7,,,,74z66mnnh5ipu13ihlqtun40k,Vitor Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2756209419,4,1,1,0,2,ah8dala7suqqkj04n2l8xz4zd,1,31.8,31.9,2024-12-07T15:17:27.675Z,2024-12-08T07:06:51Z,5407003317,141,2.1,5408754881,155,,5407003313,56,Right,5407003315,140,98.1,5410029781,178,,5407003323,1,,5407003319,212,72.5,5407003321,213,6,evpjdko94awbqbbl5wl9hto7p,Marc Bartra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2756209473,5,1,1,0,9,ah8dala7suqqkj04n2l8xz4zd,0,98.1,2.1,2024-12-07T15:17:34.212Z,2024-12-08T07:06:58Z,5407006079,233,4,5408758017,20,,5407006075,236,,5407003645,213,1.6,5407003637,140,98,5407006085,286,,5408758015,386,,5410029905,178,,cuxm7t8cql3v06hqf18wvcul1,E. Ávila,5407003641,141,7.7,5407003643,212,3.8,5408758013,225,5407003625,2,5407003633,56,Right,5407003629,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
2756209599,4,12,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,2.4,94.8,2024-12-07T15:17:34.306Z,2024-12-08T07:07:02Z,5407006153,233,5,5410030001,178,,5407006025,185,,5407004303,56,Back,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2756209533,3,6,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,0,0.2,92.4,2024-12-07T15:17:36.520Z,2024-12-08T07:07:04Z,5407004115,233,6,5407003893,56,Back,5407003895,73,,,,,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2756209503,6,6,1,0,11,ah8dala7suqqkj04n2l8xz4zd,1,99.8,7.6,2024-12-07T15:17:36.520Z,2024-12-08T07:07:05Z,5407004001,75,,5407003999,56,Right,5407004093,233,3,,,,,,,,,,,,,,,,cuxm7t8cql3v06hqf18wvcul1,E. Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Betis
