id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2759764675,2,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-12-15T18:44:55.616Z,2024-12-15T19:59:51Z,5426178739,59,"13, 23, 3, 8, 24, 5, 19, 17, 9, 20, 11, 35, 4, 6, 16, 14, 18, 21, 25, 26, 32, 7, 2",5426178735,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, 4ggz7e009bq3yltc9o6mifbah, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 6l1y87tlepsvr83d8y2qifeqy, awsod0zmnrukk21d4882ji7e1, eb3ci3a120om80v80mobsus8a, cjll1xrw3xulnl23c9tlf6rys, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 6ofu6yc2qwp5ii9cerdq1tk9h, yhipl27kpzoq85sizfyzmvx0, 8xjdsfk5u7wph4o7h1w45dses, 2szgrzcosfeifh664tgt3mfvt, bkwxem45cf48k14euwqe7rs44",5426178747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5426504119,197,25285,5426178743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5426178741,130,8,5426178737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5426178745,194,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759767547,1,34,16,0,0,3krm0f4yr1l80j1sd7823f9xn,1,0,0,2024-12-15T18:47:48.682Z,2024-12-15T20:43:53Z,5426194009,130,11,5426194013,194,dvyl5rfgfkoplnwrs73rkidhx,5426194011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5426194005,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5426194007,59,"13, 2, 20, 5, 3, 6, 23, 17, 9, 8, 7, 1, 24, 4, 28, 22, 19, 18, 11, 10, 27, 21, 14",5426194003,30,"bahph7009sc73jl6s2bramn6d, 9p87liko3b1jjpjmi19135y0a, 3xxwjf3ymu1j9825xjuwuknah, 9g4devlvymukexrvfgkipd6tx, 48ctbksxfm5hrdmwphb4eril1, dvyl5rfgfkoplnwrs73rkidhx, entqiwoor6dhwqcg5s82krfth, 6772p87u8cf9g6qyk5x414h61, a233iunrs5zqk5q62xv0oogdl, bxzhhmig5if9pznqa0fgxlyei, ea5xlslcii56ycrlmyo6uiimt, duvi9g1bu4djua8e7t7tgoo9h, 1fypjwixici9u6z9ttpso5ejt, 87gvtfqgn555sywr78abximsp, 78htbj3e77yo792tn2o2ekciy, dtuwn06lnvxugaj637i553r2t, 7qy3e0pry4wdkimrffnus4zu2, cy0lv5u16obr2ne4xiins43x1, 4jjk6jqgz3w4uvm3bvhl9t016, pr0nfcph8mlm3plq9b69o8a1, f3g9hf83rfyb08e5bwk22702c, cdnnjwfwzhsre2xkb37ykpbhm, 3o41frgi9jxrms6rvc6ml1plh",5426496825,197,25433,5426194015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825217,2,32,1,0,0,3krm0f4yr1l80j1sd7823f9xn,1,0,0,2024-12-15T20:02:20.212Z,2024-12-15T20:02:19Z,5426511749,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759825235,3,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-12-15T20:02:20.212Z,2024-12-16T04:16:07Z,5426511817,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825259,4,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2024-12-15T20:02:20.231Z,2024-12-16T06:19:45Z,5426511973,140,33.6,5426511981,279,S,5426511971,56,Back,5426511979,213,2.72,5426511975,141,61.5,5427155353,178,,5426511977,212,18.9,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825267,5,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,33.6,61.5,2024-12-15T20:02:22.664Z,2024-12-16T06:19:51Z,5426512027,140,30.2,5427155395,178,,5426512031,212,15.6,5426512033,213,4.48,5426512029,141,39.2,5426512025,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825293,6,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,1,30.2,31.3,2024-12-15T20:02:24.947Z,2024-12-16T06:19:55Z,5426512177,212,14.6,5427155415,178,,5426512179,213,4.94,5426512175,141,10.3,5426512173,140,33.3,5426512171,56,Back,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825347,7,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,31.1,14.3,2024-12-15T20:02:28.679Z,2024-12-16T06:20:01Z,5426512515,213,2.01,5427155473,178,,5426512511,141,30.9,5426512509,140,26,5426512513,212,12.5,5426512507,56,Back,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825381,8,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,22.1,44,2024-12-15T20:02:31.091Z,2024-12-16T06:20:04Z,5426512667,140,27.4,5427155503,178,,5426512669,141,66.1,5426512665,56,Back,5426512673,213,1.22,5426512671,212,16,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759825393,9,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,28.9,63.9,2024-12-15T20:02:34.153Z,2024-12-16T06:20:10Z,5426512777,213,5.67,5426512775,212,12.7,5426512769,56,Back,5426512771,140,38.8,5426512773,141,53.1,5427155543,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
