id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/20/value,teamName
2712534289,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-08-24T15:43:28.483Z,2024-08-24T16:57:46Z,5168314001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168313999,194,2e55g4q93y382cg7h0yk5rtud,5168313989,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 4et6r42e7q2ojgaumwnua2kgk, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, 2szgrzcosfeifh664tgt3mfvt, 4mxx1oxkiexm0ha34utcmb17t, yhipl27kpzoq85sizfyzmvx0, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4ggz7e009bq3yltc9o6mifbah, 54foi544tygbd4sfx62t7wno, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4",5168313993,59,"1, 23, 3, 8, 2, 5, 19, 28, 9, 11, 7, 13, 26, 14, 16, 17, 18, 24, 29, 32, 35, 36",5168313997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168313991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5168313995,130,8,5168724623,197,25285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712540589,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2024-08-24T15:46:51.259Z,2024-08-24T17:07:42Z,5168348429,194,ddvvwqxpsqqboupi3gx1ijhed,5168348423,59,"26, 15, 17, 6, 3, 5, 7, 24, 9, 8, 10, 13, 34, 2, 12, 18, 19, 20, 21, 23, 27, 31, 32",5168348427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168723337,197,25651,5168348421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5168348431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5168348425,130,8,5168348419,30,"b9q69u0q11bjpu0393sdy50, v7isqpxiursyjhj5rmhyhjv9, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, do5tibysnhbnbw18nwdo39kut, 352ywlfcjt329s7etjn4rkui2, ddvvwqxpsqqboupi3gx1ijhed, dfcbvsb7o18lavmonbp5ucwoa, 66jotyvbhtz5cjvhbby6luelm, 1tctbwsidibct7wphjgv8mdm2, bqfeayiqmxo59u0ixrzkeikgk, b91n9sdabth8oocdawayybdud, 3tzvbdszdrj1tayik9igbve8l, e9wu8g45hq2c1vp07jktx0set, 9punjo6472xks9fivsfxprrsa, b2rqgjegzeyq6wy6qu63zz2fo, e40eqhxzzid2chfyxph37tuxh, 2blue4kkn5uryu76u55b3wp3o, ajmyaj6fk8lpirlqndw75i42c, ck7lu09geq8mi6vkf2llyi5ii, 5ayo0fp6wod7cqg71e38zdz4k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615461,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2024-08-24T17:02:16.247Z,2024-08-24T17:02:16Z,5168742223,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615491,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-08-24T17:02:16.247Z,2024-08-25T03:45:37Z,5168742393,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615591,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.1,49.9,2024-08-24T17:02:17.243Z,2024-08-25T10:50:30Z,5168742933,56,Back,5168742943,279,S,5168742937,141,55.1,5168742939,212,21.8,5168742941,213,2.98,5168742935,140,29.6,5171565901,178,,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615625,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,0,32.3,54,2024-08-24T17:02:19.068Z,2024-08-25T06:28:28Z,5168743103,140,78.3,5168743095,157,,5168743107,141,8.3,5168743109,212,57.4,5171565965,178,,5168743099,56,Right,5168743117,1,,5168743113,213,5.71,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615673,3,1,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,0,19.9,88.3,2024-08-24T17:02:22.548Z,2024-08-25T06:28:41Z,5168743365,140,27.4,5168743357,3,,5168743369,141,84.9,5168743373,212,8.2,5171566077,178,,5168743377,213,6,5168743363,56,Back,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615691,5,61,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,80.1,5.5,2024-08-24T17:02:22.686Z,2024-08-25T06:28:59Z,5171566219,178,,5168743461,56,Right,5171566217,21,,,,,,,,,,,,,,,,,do5tibysnhbnbw18nwdo39kut,Álex Berenguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615679,4,49,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,27.4,84.9,2024-08-24T17:02:25.376Z,2024-08-25T06:29:05Z,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615709,5,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,24.5,92.5,2024-08-24T17:02:26.125Z,2024-08-25T06:29:11Z,5168743581,141,92.2,5171566311,178,,5168743583,212,8.3,5168743579,140,16.6,5168743585,213,3.17,5168743577,56,Back,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615737,6,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,0,10,91,2024-08-24T17:02:28.946Z,2024-08-25T06:29:18Z,5168743705,140,28.4,5171566439,178,,5168743713,213,5.69,5168743709,212,23.3,5168743707,141,71.9,5168743703,56,Back,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615777,6,49,1,0,14,3czravw89omgc9o4s0w3l1bg5,1,72.9,30,2024-08-24T17:02:30.950Z,2024-08-25T06:29:22Z,,,,,,,,,,,,,,,,,,,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615815,7,1,1,0,14,3czravw89omgc9o4s0w3l1bg5,1,72.9,30,2024-08-24T17:02:30.965Z,2024-08-25T06:29:25Z,5168744169,56,Center,5168744173,141,38.3,5168744177,213,0.4,5168744171,140,85.5,5168744175,212,14.4,5171566521,178,,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615825,8,1,1,0,15,3czravw89omgc9o4s0w3l1bg5,0,86.3,36.4,2024-08-24T17:02:31.816Z,2024-08-25T06:29:32Z,5168744233,212,9.9,5168744227,56,Center,5168744235,213,0.06,5168744229,140,95.7,5168744225,168,,5168744231,141,37.2,5171566635,178,,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club
2712615817,7,54,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,4.4,60.3,2024-08-24T17:02:33.587Z,2024-08-25T06:29:36Z,5168744251,232,,5171566683,389,,,,,,,,,,,,,,,,,,,,2e55g4q93y382cg7h0yk5rtud,Marc-Andre ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615845,8,52,1,0,17,agh9ifb2mw3ivjusgedj7c3fe,1,4.5,61.3,2024-08-24T17:02:34.007Z,2024-08-25T06:29:42Z,5171566743,389,,5170265983,376,,,,,,,,,,,,,,,,,,,,2e55g4q93y382cg7h0yk5rtud,Marc-Andre ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615873,9,1,1,0,20,agh9ifb2mw3ivjusgedj7c3fe,1,9,52.6,2024-08-24T17:02:37.046Z,2024-08-25T06:29:50Z,5168744513,123,,5168744517,140,23.9,5168744525,1,,5168744519,141,8,5168744523,213,5.19,5168744515,56,Back,5168744553,287,,5168744521,212,34.1,2e55g4q93y382cg7h0yk5rtud,Marc-Andre ter Stegen,5171566825,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712615997,10,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,23.3,39.9,2024-08-24T17:02:43.793Z,2024-08-25T06:29:54Z,5168745341,140,27.7,5168745349,1,,5168745339,56,Back,5168745347,213,1.45,5171566851,178,,5168745343,141,93.9,5168745345,212,37,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616055,11,1,1,0,31,agh9ifb2mw3ivjusgedj7c3fe,1,27.7,93.9,2024-08-24T17:02:48.196Z,2024-08-25T06:29:58Z,5168745635,140,19.1,5168745641,213,4.15,5168745639,212,17.1,5171566869,178,,5168745637,141,72.6,5168745633,56,Back,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616089,12,1,1,0,36,agh9ifb2mw3ivjusgedj7c3fe,1,24.3,62.3,2024-08-24T17:02:52.754Z,2024-08-25T06:30:01Z,5168745779,141,29.1,5168745777,140,22,5168745775,56,Back,5168745783,213,4.61,5171566897,178,,5168745781,212,22.7,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616131,13,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,22.9,31.8,2024-08-24T17:02:56.375Z,2024-08-25T06:30:14Z,5168745977,141,72.6,5168745973,56,Back,5168745979,212,27.8,5168745975,140,25,5168745981,213,1.49,5171567023,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616185,14,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,25,75,2024-08-24T17:02:58.606Z,2024-08-25T06:30:18Z,5171567071,178,,5168746285,141,95.2,5168746283,140,30.3,5168746287,212,14.8,5168746291,213,1.19,5168746281,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2712616263,15,1,1,0,45,agh9ifb2mw3ivjusgedj7c3fe,1,30.3,95.2,2024-08-24T17:03:01.796Z,2024-08-25T06:30:22Z,5168746677,56,Back,5168746679,140,20.1,5171567139,178,,5168746685,213,4.04,5168746683,212,17.3,5168746681,141,75.3,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
