id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value,teamName
2766637969,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-18T18:47:43.998Z,2025-01-18T20:02:46Z,5463403043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5463403031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5463403041,197,25288,5463403039,194,awsod0zmnrukk21d4882ji7e1,5463403029,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, awsod0zmnrukk21d4882ji7e1, bkwxem45cf48k14euwqe7rs44, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 2wl6h1rlrfnn2mr65vuo3t815, 6ofu6yc2qwp5ii9cerdq1tk9h, yhipl27kpzoq85sizfyzmvx0, 2szgrzcosfeifh664tgt3mfvt, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5463403033,59,"13, 23, 3, 8, 4, 2, 19, 17, 9, 6, 11, 25, 26, 7, 14, 15, 16, 18, 20, 21, 24, 32, 35",5463403035,130,8,5463403037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766639139,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2025-01-18T18:50:03.126Z,2025-01-18T20:05:11Z,5463409861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5463409855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5463409865,197,25438,5463409853,30,"vota9gwygxp3wc998tl7ldxx, 5lzbyj5i0cotpry4gneap8c89, dkt9892ixwnz1bkmgileo71sl, 9see13i1f0n1ju4uhs8sijutx, cue88fm1v1ysfuwhql68czydx, 2o3bka7gokfjkej1f600ovbo5, eiqt71z69beq7akuhot0foset, 5gorfhj7uwpomrhlso1krxrkl, 7kser55g81n3lqj9rjd2mwftg, ch1lxxbn01at4jmkafy4uevh1, czo50ep8l8ubnp8ifn6bx87pw, 6bdn7qrzqxuurt39t5j6mooo9, bdaxbuz59551ktjj7g31slfc9, eucew4k6eswqr6emzsdg4if3d, 52e2ogoex674bz6pcwluapdxx, k23exoxg1u76w0qaxc9gdpm, 64h0x8sur55l07oaiuog4v2z9, osme4gegtnhlldt4lsqf56ac, ejrke7z9ve17jhj7x4glh206i, e5er1rgo8lluy6qjk4mcew6c4, 5oto675vo4ugk7nm22q4vkhsk, 2or4vs22b27w14kgudoawh9ii, behulpgu74ljrh3jg1g8qwdg4",5463409857,59,"13, 21, 16, 2, 22, 15, 11, 8, 6, 5, 29, 1, 4, 7, 9, 10, 17, 18, 19, 20, 28, 36, 38",5463409859,130,7,5463409863,194,9see13i1f0n1ju4uhs8sijutx,5463409867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679123,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-18T20:01:57.988Z,2025-01-18T20:02:07Z,5463636299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679129,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2025-01-18T20:01:57.988Z,2025-01-19T04:17:32Z,5463636319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679157,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,49.9,2025-01-18T20:01:58.124Z,2025-01-19T08:56:57Z,5463636459,212,5.1,5463636453,56,Back,5464457351,178,,5463636457,141,53.4,5463636463,279,S,5463636461,213,2.66,5463636455,140,45.7,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766712125,514,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,44.6,53.3,2025-01-18T20:01:59.858Z,2025-01-19T08:57:03Z,5464457403,178,,5463821317,213,2.29,5463821313,141,63.6,5463821311,140,38.7,5463821315,212,9.4,5463821309,56,Back,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679177,4,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,36.9,62.1,2025-01-18T20:02:03.650Z,2025-01-19T08:57:09Z,5463636599,56,Back,5463636605,212,14.4,5464457439,178,,5463636601,140,33.6,5463636603,141,41.5,5463636607,213,4.47,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679207,5,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,39.4,37,2025-01-18T20:02:08.870Z,2025-01-19T08:57:13Z,5463636779,141,63.6,5463636783,213,1.3,5463636777,140,44.1,5463636781,212,18.7,5464457479,178,,5463636775,56,Back,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679243,6,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,54.9,71.4,2025-01-18T20:02:12.646Z,2025-01-19T08:57:17Z,5463637035,213,0.73,5464457495,178,,5463637027,140,72.5,5463637023,56,Left,5463637029,141,95.6,5463637033,212,24.7,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679257,7,1,1,0,20,agh9ifb2mw3ivjusgedj7c3fe,0,88.2,92.3,2025-01-18T20:02:18.183Z,2025-01-19T08:57:47Z,5464082705,224,,5463637119,213,4.75,5463637113,140,89.1,5463637117,212,24.5,5464457655,178,,5463637111,56,Center,5464082707,72,,5463637107,2,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,5463637109,155,5463637115,141,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
