id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2769467557,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-26T18:49:49.572Z,2025-01-26T20:56:01Z,5478850341,197,25285,5478635921,194,ezviixcyaaj162saxs2yl27s9,5478635911,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, bkwxem45cf48k14euwqe7rs44, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, 2szgrzcosfeifh664tgt3mfvt, cjll1xrw3xulnl23c9tlf6rys, 2wl6h1rlrfnn2mr65vuo3t815, 6l1y87tlepsvr83d8y2qifeqy, 8xjdsfk5u7wph4o7h1w45dses, 9f0jk3wgmlnnmnqrdkh4gnpt6, 1av9mmv19jwvc4xdr0p9owyxh, 5kodjbsarkql4vhs126p2vhwq, 308krssmz6irpfntht1ka78tm, eb3ci3a120om80v80mobsus8a, afxjicw89683nlpms9yy5x51x, awsod0zmnrukk21d4882ji7e1, 9s5uadkz3qy2nke745778dfys, 4mxx1oxkiexm0ha34utcmb17t",5478635917,130,8,5478635913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5478635915,59,"25, 23, 3, 21, 24, 2, 19, 17, 7, 16, 11, 35, 32, 18, 15, 14, 10, 6, 9, 4, 31, 13",5478635919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478635923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769468925,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2025-01-26T18:52:17.009Z,2025-01-26T20:05:43Z,5478845855,197,1597,5478643755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478643741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5478643747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5478643739,30,"20o2dr1mdk18xhxmkujzgak89, wlqj34ev5mucxtfx6j4tr9at, 5b1q9bpe23j98eoy4fwi7ld5h, 3702btkgwxf6tq92ouekd7ro5, 2u8bekuidiwqz1gvb4vd3uhg, cmdeqxibr6holfqg17ap9uihg, 4j3u6v01emo9nsel7uw00qsfe, aqqd7tq7z6bj3wn3u3sz3uuqc, 7yieh5r0uzk6d6x9o060c2bfu, 9dc4qkvh0vk5kwymibji00kp, 6kc8ieszwg6u00e3sa554y7yt, 2dh7daj5fs09snik6jrcyz7fu, apzhdhppa1q2w7gaho7suketw, 9g3to6kcpmla26k0dbwuizspg, 66fshzi5f86wt1lwa4kdhiooa, d6kzekcwqw0q8fq6wt6rmyusq, 70ursnnskhuf7zkltyrudquax, 30jru4rizkqobfinh8o2jw92h, dtvmsnqlzn5672xb54zj8u7dh, eg2jk0f0l2l1gurwwn2au6nyt, e7del0ovpcpntqdgh8idxok4p, eucssbf7wamb41y1gixfodivp, 5dfvefxvwj8kixbajluw25mtx",5478643745,130,2,5478643751,194,5b1q9bpe23j98eoy4fwi7ld5h,5478643743,59,"25, 20, 14, 18, 15, 24, 16, 8, 9, 10, 22, 46, 42, 38, 23, 21, 19, 17, 12, 7, 6, 4, 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506691,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2025-01-26T20:01:22.986Z,2025-01-26T20:01:24Z,5478851579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valencia
2769506685,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-26T20:01:22.986Z,2025-01-27T03:13:02Z,5478851551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506703,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-01-26T20:01:23.032Z,2025-01-27T06:10:24Z,5478851645,141,52.1,5478851643,140,44.2,5478851651,279,S,5478851649,213,2.91,5479585169,178,,5478851641,56,Back,5478851647,212,6.3,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506717,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,44.2,52.1,2025-01-26T20:01:25.090Z,2025-01-27T06:10:30Z,5479585209,178,,5478851727,141,34.2,5478851725,140,31.5,5478851723,56,Back,5478851731,213,3.88,5478851729,212,18.1,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506721,5,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,31.5,34.2,2025-01-26T20:01:26.796Z,2025-01-27T06:10:35Z,5478851757,140,35.4,5478851763,213,5.09,5479585237,178,,5478851759,141,19.2,5478851755,56,Back,5478851761,212,11,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506725,6,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,36.2,19.7,2025-01-26T20:01:28.798Z,2025-01-27T06:10:39Z,5478851781,141,34.6,5478851779,140,30.3,5478851785,213,2.12,5478851783,212,11.9,5478851777,56,Back,5479585271,178,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506739,7,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,30.3,39.5,2025-01-26T20:01:30.495Z,2025-01-27T06:11:50Z,5478851889,213,1.74,5478851887,212,23.1,5478851881,56,Back,5479585587,178,,5478851883,140,26.7,5478851885,141,73,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2769506763,8,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,26.7,73,2025-01-26T20:01:32.521Z,2025-01-27T06:11:56Z,5478851993,213,1.13,5478851989,141,94.7,5478851985,56,Back,5478851987,140,33.4,5479585607,178,,5478851991,212,16.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
