id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/17/value,teamName
2774548461,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-02-09T18:42:40.201Z,2025-02-09T21:01:51Z,5506196395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5506196399,197,25285,5506196397,194,awsod0zmnrukk21d4882ji7e1,5506196393,130,8,5506196389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5506196391,59,"25, 23, 3, 8, 4, 5, 19, 21, 9, 6, 11, 13, 31, 2, 7, 14, 16, 17, 18, 20, 24, 32, 35",5506196401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5506196387,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, awsod0zmnrukk21d4882ji7e1, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, bkwxem45cf48k14euwqe7rs44, 2szgrzcosfeifh664tgt3mfvt, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774553553,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2025-02-09T18:48:17.614Z,2025-02-09T20:06:14Z,5506224565,59,"13, 26, 3, 20, 22, 4, 11, 6, 7, 17, 5, 1, 31, 10, 14, 21, 18, 23, 27, 28, 35",5506224569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5506224573,197,20185,5506224575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5506224567,130,8,5506224563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5506224561,30,"cfc7fqq748bz3nklfam2a2fp, 7j2h7bq14b9n6xephp8vchfu2, 8rprxly1blrhq9cwhfqoheeax, 7cdiijsvnfc7tafy0zkf4uz9, rlgrvvibryod2g92hqc97ii2, 9nwkxgbl8t933pzu60ye4xxxw, 5cw4n6kdaa7imeyaiuo2pnq39, 6vvwhgic29fekmmj2cg62ytp1, 45rxt159xjefvxlfgeykclw8a, 40h47dhimsmeiury61w1ourx1, 4zrut521fzw9fddqt74pnl756, agd2nhvdhp18dg1weape5olpl, 944mc5icxdleh4kvaamvpa9zo, 5c4ku1hmhy6l9dq8a5jp1qf9x, 42laa1qwbzlcruyrmlg5o1fu2, 6ufkq71qh9wrfyaez5yi94e09, c8mp2wwwyvy930vfjnivg2hre, 1ghrcpi1cl0koh36puwblbfmd, 370bp4zp3mxe27rtx3gwhcems, 35i9zcb2szve0ydjga9qnj384, 4kgjbmlzo6ygdccbue3zvjm96",5506224571,194,6vvwhgic29fekmmj2cg62ytp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevilla
2774605691,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2025-02-09T20:02:15.907Z,2025-02-09T20:02:18Z,5506513827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevilla
2774605677,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-02-09T20:02:15.907Z,2025-02-09T20:02:16Z,5506513735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774605703,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-02-09T20:02:15.908Z,2025-02-09T20:19:50Z,5506513903,213,3.49,5506513897,140,32.3,5506513899,141,40.1,5506513901,212,19.8,5506513895,56,Back,5506513905,279,S,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774605727,4,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,0,32.3,40.1,2025-02-09T20:02:19.924Z,2025-02-09T20:02:22Z,5506513977,157,,5506513981,140,71.4,5506513979,56,Left,5506513985,212,52.2,5506513989,1,,5506513987,213,0.67,5506513983,141,87.5,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774605745,3,61,1,0,8,10eyb18v5puw4ez03ocaug09m,1,31.6,11.6,2025-02-09T20:02:24.640Z,2025-02-09T20:02:24Z,5506514081,56,Back,,,,,,,,,,,,,,,,,,,,,,7j2h7bq14b9n6xephp8vchfu2,Juanlu Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevilla
2774605797,5,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,77.5,95.1,2025-02-09T20:02:28.099Z,2025-02-09T20:02:30Z,5506514287,56,Left,5506514293,212,6.7,5506514291,141,96.3,5506514295,213,3.02,5506514289,140,71.2,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774605811,6,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,69.9,95.6,2025-02-09T20:02:29.875Z,2025-02-09T20:02:31Z,5506514367,212,6.9,5506514363,141,86.6,5506514371,213,4.22,5506514357,56,Left,5506514359,140,66.8,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2774605843,7,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,67.2,85,2025-02-09T20:02:31.123Z,2025-02-09T20:02:35Z,5506514515,140,47.3,5506514519,212,30.7,5506514517,141,51.9,5506514513,56,Back,5506514521,213,3.96,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
