id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,qualifier/20/value,teamName
2777913667,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,5524605597,30,"9h6xf4ac4rpsjpummcdx26z9, 38dhmhce7deuqgqmc3p7nhai2, amt4voyjzhnvr55t08hzlw50q, 1ho7koiegfhsuevuum2meibu2, 533095rnz0k8mxqe6gzn0mfo5, lp63o37czdwete0smmu62k89, c157xhi78x9cykn7xz816bjd, 7vb4xrwk7sbgpxzgiwwbt4s89, a045sz2acqbfgyq9puwsu8sx6, 3ca7tqrdasmeop6ud9zot0wdl, 8eh38t4oyyt728co362f6uqqd, 9xhbpn45z9wvjidbmparzkdm1, 94jrxsnf1ta2u65ommyge7bo5, 676ehh6cwla4o9igey7qr1uqd, 1jffh172t15s6ws7nou0fc251, f0a2qk3jzxercn67bben5eled, bpfp895223p7w0px2ui3nb2l1, 63yktdky9m0aus8ebkaqzdhhx, 2qauzcv74cd8uqfv2ibl52ymt, 8onruhr4es313aq52xsl7nxlh, ed0t2uo6kac1nd9203f3rzdhw, a8g1nr2nrtkbm34v91bhz44d0, dwz2500ghb76s57kjjfrvsi6s",5524605599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5524605605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5524605603,130,8,5524605611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5524605601,59,"13, 2, 3, 6, 24, 16, 19, 4, 11, 7, 18, 1, 5, 8, 12, 15, 20, 21, 22, 23, 26, 27, 28",5524605609,197,257,5524605607,194,3ca7tqrdasmeop6ud9zot0wdl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777914019,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5524607825,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 8xjdsfk5u7wph4o7h1w45dses, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, awsod0zmnrukk21d4882ji7e1, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, cscn06kwqfzo09h0dc5ybt1pl, 4ggz7e009bq3yltc9o6mifbah, 6l1y87tlepsvr83d8y2qifeqy",5524607835,194,ezviixcyaaj162saxs2yl27s9,5524607829,59,"25, 32, 3, 8, 2, 5, 19, 21, 9, 6, 11, 13, 31, 4, 7, 10, 14, 17, 18, 20, 23, 24, 35",5524607827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5524607831,130,8,5524607833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5524607837,197,25285,5524607839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2777938155,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,5524746743,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2777938147,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,5524746709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777938175,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,50,50,5524746861,213,3.67,5524746863,279,S,5524746857,141,39.5,5524746859,212,14.2,5524746855,140,38.3,5524746853,56,Back,,,,,,,a045sz2acqbfgyq9puwsu8sx6,Randy Nteka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777938179,4,1,1,0,2,3budh3j9xivsid3ptm8ptpy4k,1,38.3,39.5,5524746885,56,Back,5524746889,141,22,5524746887,140,34.7,5524746891,212,12.5,5524746893,213,4.4,,,,,,,,,,7vb4xrwk7sbgpxzgiwwbt4s89,Pedro Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777938187,5,1,1,0,3,3budh3j9xivsid3ptm8ptpy4k,1,34.7,22,5524746929,212,9,5524746927,141,34.2,5524746925,140,31.3,5524746923,56,Back,5524746931,213,1.98,,,,,,,,,,38dhmhce7deuqgqmc3p7nhai2,A. Rațiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777938189,6,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,0,31.3,34.2,5524751837,157,,5524751839,1,,5524746945,212,17.9,5524746939,56,Back,5524746943,141,35.5,5524746941,140,48.3,5524746947,213,0.05,,,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2777938193,3,49,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,54.1,67.6,,,,,,,,,,,,,,,,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2777938211,4,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,54.1,67.6,5524747029,56,Center,5524747041,213,6.07,5524747037,212,11.1,5524747033,141,64.2,5524747031,140,64.4,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
