id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/19/value,teamName
2783021367,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-02T14:10:07.809Z,2025-03-02T16:11:56Z,5552513825,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 3hht0os2uzu234yq550i3fbe2, awsod0zmnrukk21d4882ji7e1, bkwxem45cf48k14euwqe7rs44, abr79wsl0folgkyvl821ggs2c, 4gq1u1mqg0qzekh1u5djleeax, afxjicw89683nlpms9yy5x51x, 4ftlhtels58lyzfluwofzwxuy, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, bzgh5psb1janz9y3btpswngbu, cd5napttmwk5o9gxw3cbb4ted, eb3ci3a120om80v80mobsus8a, 2szgrzcosfeifh664tgt3mfvt, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses",5552513831,130,7,5552513829,59,"25, 23, 35, 17, 4, 2, 19, 20, 9, 8, 11, 13, 31, 3, 5, 6, 7, 14, 16, 18, 21, 24, 32",5552513837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552777915,197,25285,5552513833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552513827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552513835,194,awsod0zmnrukk21d4882ji7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2783024407,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2025-03-02T14:12:12.678Z,2025-03-02T15:17:59Z,5552530071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552530061,59,"1, 19, 12, 4, 5, 6, 17, 16, 9, 28, 7, 13, 35, 3, 10, 18, 22, 23, 31, 37, 40, 41",5552530059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552530069,194,e35v2pspdgl7t769d57e67ob9,5552530063,130,7,5552530057,30,"w503zyr8ipyobglth281uklx, ezbplvktzcvzh5kwur32110mi, 6p8xl2smgf1ta7txpcj7cabu2, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, e35v2pspdgl7t769d57e67ob9, d4tdx2ctadv6kc3tbq4as8bmx, 6lnttemmflhxp700fr069ty0a, euur9yvhgrieu4kl0vdkh244q, aka2yqxmqpioxc1qzkl62ejv8, 21vx56lpd276xqbu11ubkf78q, b2xlrg9xvucrut2fhmvsgjuqy, 8bu8ivrdbh6lc4cpdaki5l9wq, bj929w5yi7lnz36jxsi5qnq7e, b45ryclny991bm7qosieyg1cl, xrh2szvp5808no7zm1et2zf9, et849xmcdgsy5itb8i4w7qkq2, dvrk8qmt9ta4c3kvjgsad7t91, 8krgbfnydbtyongkwnsaj43kk, 8qs8s7c173w8i1dfu06ub5zis, 66l9n4gqc4aau3bpc0qtpta8k, 1bcd2ijk9xkf7mmoqmsfpxzbo",5552530065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552913463,197,25453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783101807,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-02T15:16:26.182Z,2025-03-02T20:35:16Z,5552941597,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2783101787,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2025-03-02T15:16:26.182Z,2025-03-02T15:16:26Z,5552941505,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783101825,3,1,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,50,50,2025-03-02T15:16:26.183Z,2025-03-02T17:34:56Z,5552941665,279,S,5552941663,213,3.37,5552941657,140,41.5,5552941659,141,47,5552941655,56,Back,5552941661,212,9.2,,,,,,,aka2yqxmqpioxc1qzkl62ejv8,Pablo Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783101993,4,1,1,0,1,63f5h8t5e9qm1fqmvfkb23ghh,1,41.5,47,2025-03-02T15:16:27.900Z,2025-03-02T15:16:34Z,5552942453,56,Back,5552942459,212,17.3,5552942455,140,32.1,5552942457,141,67.9,5552942461,213,2.18,,,,,,,,,,80aqmv4ht6rs1812qrr5j8kix,Martín Zubimendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783102025,5,1,1,0,4,63f5h8t5e9qm1fqmvfkb23ghh,1,28.7,67,2025-03-02T15:16:30.203Z,2025-03-02T17:35:09Z,5552942631,213,3.66,5552942625,140,7,5552942623,56,Back,5552942629,212,26.3,5552942627,141,47.8,,,,,,,,,,e35v2pspdgl7t769d57e67ob9,Aritz Elustondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783102101,6,1,1,0,8,63f5h8t5e9qm1fqmvfkb23ghh,0,7.3,46.6,2025-03-02T15:16:34.692Z,2025-03-02T17:35:16Z,5552943003,157,,5552943009,141,23.3,5552943013,213,5.92,5552943005,56,Back,5552943015,1,,5552943011,212,45,5552943007,140,47.4,,,,w503zyr8ipyobglth281uklx,Álex Remiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
2783102111,3,44,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,50.8,79.8,2025-03-02T15:16:38.603Z,2025-03-02T15:19:31Z,5552943079,56,Left,5552943163,233,7,5552943081,286,,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2783102107,7,44,1,0,12,63f5h8t5e9qm1fqmvfkb23ghh,0,49.2,20.2,2025-03-02T15:16:38.604Z,2025-03-02T15:19:31Z,5552943277,233,3,5552943281,285,,5552943053,56,Back,,,,,,,,,,,,,,,,6lnttemmflhxp700fr069ty0a,Jon Olasagasti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Sociedad
