id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/14/value,qualifier/16/value,qualifier/17/value,teamName
2791929001,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-27T18:49:57.902Z,2025-03-27T22:01:02Z,5601503393,194,ezviixcyaaj162saxs2yl27s9,5601503385,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5601503395,197,25285,5601503389,130,4,5601503391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5601503383,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, cd5napttmwk5o9gxw3cbb4ted, 4gq1u1mqg0qzekh1u5djleeax, 4ftlhtels58lyzfluwofzwxuy, 2szgrzcosfeifh664tgt3mfvt, abr79wsl0folgkyvl821ggs2c, eb3ci3a120om80v80mobsus8a, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, bkwxem45cf48k14euwqe7rs44, awsod0zmnrukk21d4882ji7e1, afxjicw89683nlpms9yy5x51x, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, ewg00yicw9bw96wppupu36gwk",5601503397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5601503387,59,"25, 23, 3, 21, 24, 5, 20, 8, 7, 19, 6, 13, 31, 2, 4, 9, 10, 14, 16, 18, 32, 35, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2791929221,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2025-03-27T18:52:30.591Z,2025-03-27T20:14:05Z,5601504747,194,amjegysk3et638l4od103c7o5,5601504739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5601504835,197,25423,5601504749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5601504743,130,2,5601504745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5601504737,30,"amjegysk3et638l4od103c7o5, 7r7wgbcu7vmlj19m9jpjhu1yi, 8ij122duxc65thlj8flk2xdjp, eqw6fu3no9qxejk17tqgeey5m, bi8nrmyaxsgbhixw921fzvm5l, 5b9awsil5bgqrsc13xsoj35nu, f4gpe0pxov8sea9e0fs24h8q2, 1wezo3pjdktc0iqaxze3uh2sq, bpf2fcb73l96fwspo72shmkiy, cy3c0cj6yy1mokaj0mlk4k9re, 5xthw4pr86vwld0r2bz0b2v2t, 15no5m0njma23gf0ygu9agt05, 9fdp10ya29ml4t3f2h132cr56, 7ms6l8qho3p4jm1soleldqvv9, 2zcha0sd7axiu2s2c0bccz2s5, 9xbo6c8uq29ueuyinngjjiaj9, 1vupjbihmf0b4gzjskmrmptqt, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, 5tiol5jc7h11oic9vvyu83fqi, bvs3rixmobb9gje6kfvhgb52i, b5muwvixv0nq4uylgzxz7302c, erxux52uzol4p4fqqz929zuhg",5601504741,59,"1, 12, 3, 8, 24, 5, 7, 18, 10, 9, 20, 13, 31, 4, 11, 14, 15, 16, 17, 22, 23, 29, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938975,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2025-03-27T20:00:52.330Z,2025-03-27T20:00:55Z,5601560625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938973,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-27T20:00:52.330Z,2025-03-27T22:40:52Z,5601560623,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938977,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-03-27T20:00:52.331Z,2025-03-27T20:00:55Z,5601560637,279,S,5601560627,56,Back,5601560633,212,14.8,5601560629,140,36.6,5601560635,213,3.45,5601560631,141,43.3,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938979,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,36.6,43.3,2025-03-27T20:00:55.189Z,2025-03-27T22:41:19Z,5601560649,213,1.38,5601560643,140,39.7,5601560645,141,68.1,5601560641,56,Back,5601560647,212,17.2,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938981,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,39.8,68.7,2025-03-27T20:00:58.100Z,2025-03-27T22:41:18Z,5601560659,212,23.9,5601560653,56,Left,5601560655,140,56.7,5601560657,141,92.3,5601560661,213,0.74,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938983,6,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,56.5,91.4,2025-03-27T20:01:00.069Z,2025-03-27T22:41:17Z,5601560693,141,80.3,5601560697,212,23,5601560685,56,Back,5601560701,213,3.48,5601560689,140,35.8,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938987,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,36.2,73.4,2025-03-27T20:01:03.613Z,2025-03-27T22:49:11Z,5601560727,56,Back,5601560731,141,33.2,5601560735,213,4.7,5601560733,212,27.3,5601560729,140,35.9,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791938991,8,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,36,33.1,2025-03-27T20:01:07.797Z,2025-03-27T22:49:11Z,5601560757,141,21.4,5601560761,213,5.04,5601560753,56,Back,5601560759,212,8.4,5601560755,140,38.6,,,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
