id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2714248839,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2024-08-27T18:20:26.070Z,2024-08-27T19:42:35Z,5177693407,194,8onruhr4es313aq52xsl7nxlh,5177693409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5177693399,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5177693397,30,"9xhbpn45z9wvjidbmparzkdm1, bpfp895223p7w0px2ui3nb2l1, 2qauzcv74cd8uqfv2ibl52ymt, u04ao1ldrjjesgqq52o7ghqt, 533095rnz0k8mxqe6gzn0mfo5, lp63o37czdwete0smmu62k89, c157xhi78x9cykn7xz816bjd, 8onruhr4es313aq52xsl7nxlh, 3ca7tqrdasmeop6ud9zot0wdl, 1bdnkqbxm2u5ror7ipig5m73e, 8eh38t4oyyt728co362f6uqqd, 9h6xf4ac4rpsjpummcdx26z9, 38dhmhce7deuqgqmc3p7nhai2, amt4voyjzhnvr55t08hzlw50q, 7vb4xrwk7sbgpxzgiwwbt4s89, 94jrxsnf1ta2u65ommyge7bo5, 1ho7koiegfhsuevuum2meibu2, 676ehh6cwla4o9igey7qr1uqd, a045sz2acqbfgyq9puwsu8sx6, f0a2qk3jzxercn67bben5eled, 63yktdky9m0aus8ebkaqzdhhx, a8g1nr2nrtkbm34v91bhz44d0, dwz2500ghb76s57kjjfrvsi6s",5177693405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5177693403,130,2,5177695233,197,257,5177693401,59,"1, 20, 22, 17, 24, 16, 19, 23, 7, 14, 18, 13, 2, 3, 4, 5, 6, 8, 11, 15, 21, 27, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714248893,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-08-27T18:20:40.882Z,2024-08-27T19:28:03Z,5177693777,130,8,5177693779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5177693775,59,"1, 23, 35, 8, 2, 5, 19, 28, 9, 11, 7, 13, 26, 3, 14, 16, 17, 18, 20, 32, 36, 39",5178015269,197,25285,5177693767,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 4et6r42e7q2ojgaumwnua2kgk, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, 2szgrzcosfeifh664tgt3mfvt, 4mxx1oxkiexm0ha34utcmb17t, yhipl27kpzoq85sizfyzmvx0, bzgh5psb1janz9y3btpswngbu, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, 8xjdsfk5u7wph4o7h1w45dses, 4jpwo30o4qp53k59oxvuj90k4, 8lztstifz0n0zx4ho11vbt1xw",5177693783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5177693781,194,2e55g4q93y382cg7h0yk5rtud,5177693771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309451,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-08-27T19:30:58.840Z,2024-08-27T19:31:00Z,5178031881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714309421,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2024-08-27T19:30:58.840Z,2024-08-28T03:52:20Z,5178031749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309613,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,49.9,49.9,2024-08-27T19:30:58.938Z,2024-08-28T05:16:27Z,5178032785,278,,5178032777,141,47,5178032779,212,2.5,5178873783,178,,5178032775,140,48.4,5178032781,213,4.04,5178032783,279,S,5178032773,56,Back,3ca7tqrdasmeop6ud9zot0wdl,Isi Palazón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310711,18,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,49.1,46.5,2024-08-27T19:30:59.517Z,2024-08-28T05:16:30Z,5178038977,213,2.57,5178038975,212,14,5178038971,140,37.9,5178873827,178,,5178038969,56,Back,5178038973,141,57.6,,,,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310957,20,1,1,0,2,3budh3j9xivsid3ptm8ptpy4k,1,37.6,57.5,2024-08-27T19:31:01.255Z,2024-08-28T05:16:38Z,5178040269,212,12,5178040267,141,45.6,5178040265,140,46.1,5178873875,178,,5178040263,56,Back,5178040271,213,5.55,,,,,,,8onruhr4es313aq52xsl7nxlh,Óscar Valentín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714311393,25,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,1,53.7,51.6,2024-08-27T19:31:03.230Z,2024-08-28T05:16:42Z,5178042625,213,0.87,5178042619,140,61.9,5178042617,56,Center,5178042621,141,66.5,5178873915,178,,5178042623,212,13.3,,,,,,,u04ao1ldrjjesgqq52o7ghqt,Unai López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714311623,27,1,1,0,5,3budh3j9xivsid3ptm8ptpy4k,1,68.3,74,2024-08-27T19:31:04.507Z,2024-08-28T05:16:48Z,5178043789,56,Left,5178043797,213,1.02,5178043795,212,15.8,5178873943,178,,5178043793,141,93.7,5178043791,140,76.2,,,,,,,3ca7tqrdasmeop6ud9zot0wdl,Isi Palazón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714309647,4,1,1,0,8,3budh3j9xivsid3ptm8ptpy4k,1,77.6,94.7,2024-08-27T19:31:07.044Z,2024-08-28T05:16:51Z,5178032943,141,90.1,5178032941,140,68.3,5178873963,178,,5178032945,212,10.3,5178032939,56,Left,5178032947,213,3.45,,,,,,,8eh38t4oyyt728co362f6uqqd,Álvaro García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
