id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,assist,teamName
2804943629,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-22T18:15:45.188Z,2025-04-22T19:34:38Z,5672997205,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 4ftlhtels58lyzfluwofzwxuy, awsod0zmnrukk21d4882ji7e1, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, eb3ci3a120om80v80mobsus8a, 2szgrzcosfeifh664tgt3mfvt, 4gq1u1mqg0qzekh1u5djleeax, 308krssmz6irpfntht1ka78tm, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, bkwxem45cf48k14euwqe7rs44, 2wl6h1rlrfnn2mr65vuo3t815, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy",5672997215,194,awsod0zmnrukk21d4882ji7e1,5672997209,59,"25, 24, 32, 8, 4, 5, 19, 6, 7, 20, 10, 13, 31, 2, 11, 14, 15, 16, 18, 21, 23, 35",5672997219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672997213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672997217,197,25285,5672997207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5672997211,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2804944497,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2025-04-22T18:17:30.238Z,2025-04-22T19:34:41Z,5673002083,197,27439,5673002071,30,"5qh2kdatvb03o8oiqvkaaxje2, 5tsp2m5z3xie07ax0wq1qqsix, dfjph36vcwfj5cevut4x3vf11, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 2td3iejdken4orcduqrdutrhm, bkvvapojagxvj17nzk3oy8ct1, 3rrges782prcprsn207dk4zit, 1km9nvqz03yoj9cxpv127id7u, 7xmaybxu4zd5k338bi3drkxcl, 4sz26vstr6b7b110eri7f42jt, e1izszvhlcdpmnjzzd73cnidx, f1e3gi3dx3er2vz7loriw6e39, 2wdjbfzaiokiawrbn5wzsx61h, 8tnz3pqkqdhbr08p96i9w8i96, 2lazx19wotf1b8jqx9mqeg4tm, 9wwzjoc2bl80vct0meb6v5yqc, 5e8sf5791x5g5m9vmct6s3itw, 3v254jhofauiadp9vzb7rb21g",5673002077,130,11,5673002085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5673002079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5673002075,59,"13, 2, 22, 6, 21, 24, 18, 5, 17, 12, 10, 1, 25, 3, 9, 16, 20, 28, 30, 32",5673002081,194,9dewnn65ylruq567thg7ebqhh,5673002073,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
2804975173,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-22T19:32:05.059Z,2025-04-22T22:15:47Z,5673176897,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2804975177,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2025-04-22T19:32:05.059Z,2025-04-22T19:32:08Z,5673176901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
2804975189,3,1,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,49.7,49.9,2025-04-22T19:32:05.060Z,2025-04-22T19:32:09Z,5673176969,56,Back,5673176971,140,34,5673176973,141,56.7,5673176977,213,2.87,5673176975,212,17.1,5673176979,279,S,,,,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
2804975197,4,1,1,0,3,50x1m4u58lffhq6v6ga1hbxmy,0,32,57.3,2025-04-22T19:32:09.022Z,2025-04-22T19:32:13Z,5673177059,56,Right,5673177063,141,19.4,5673177069,1,,5673177065,212,43.3,5673177061,140,65.1,5673177067,213,5.65,5673177057,157,,,,,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
2804975209,3,44,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,1,32.8,77.9,2025-04-22T19:32:12.045Z,2025-04-22T20:32:17Z,5673177209,233,5,5673177123,285,,5673177121,56,Back,,,,,,,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2804975203,5,44,1,0,6,50x1m4u58lffhq6v6ga1hbxmy,0,67.2,22.1,2025-04-22T19:32:12.046Z,2025-04-22T20:32:17Z,5673177097,56,Center,5673177099,286,,5673177229,233,3,,,,,,,,,,,,,,,,3rrges782prcprsn207dk4zit,C. Larin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
2804975217,4,12,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,29.5,78.8,2025-04-22T19:32:12.628Z,2025-04-22T19:32:16Z,5673177153,212,12.3,5673177155,213,0.07,5673177149,140,41.2,5673177151,141,80,5673177147,56,Back,5673177253,15,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2804975233,6,1,1,0,9,50x1m4u58lffhq6v6ga1hbxmy,1,61.4,25.2,2025-04-22T19:32:14.639Z,2025-04-22T19:39:25Z,5673177255,56,Right,5673177263,213,6.08,5673177259,141,17.6,5673177257,140,85.6,5673177261,212,25.9,5673189995,155,,,,,,,,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallorca
