id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,keyPass,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,teamName
2809635025,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2025-05-03T17:52:12.377Z,2025-05-03T19:16:38Z,5699276577,197,273,5698922309,194,6sj650wwmo08r10xzz2l9xkut,5698922301,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5698922307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5698922303,59,"1, 23, 39, 6, 15, 22, 10, 20, 7, 21, 11, 3, 9, 13, 12, 14, 2, 4, 28, 33, 19, 18, 8",5698922305,130,11,5698922299,30,"a4rbrzom0u87sk3uc15sxndg5, 6sj650wwmo08r10xzz2l9xkut, b0l4lfplx1we1xo5usm0h2ec4, csqsdjsa4leo6z86qphjuectm, 5uig03vbbv71f0q31cp3vfbv9, 92573hn6oedcw6a0gj44xy8kp, 46gpq48n4d5bntwa8v2t78hcl, 9wpkjal85qxddca606t65d6uh, ahbogqtodqaszg7kr1qnamgut, 1pg0b32xb9230zit0ndyd79ih, 6km3r9cspyz7g6343o9mri63u, b64ooee68x644gdibifgssrh0, eiz5j566h4fq4wro1t9lfuw2x, e36lcgg2vegiecbez2j15fl9m, 1riebanoqbl7brs1bm3lkgxlg, 8lg4tqh5bepeexbhghyr7pze2, d8v7fh30bn0rbhj0lgn1j17th, cd6l176fmei1qgylqbf0btg8a, 3ia67tz2wkwnl35dszw841xxw, 38o2o01j5qfnsnl1xp2busrv8, 3j66drshfcoje5wb7gjybi9qt, 8sh9iw9qs8y8056r5zmcpvemt, 1ekkj2b713kjnugsk4dz50q1h",5698922311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Valladolid
2809637977,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-03T17:55:19.660Z,2025-05-03T20:02:39Z,5698938313,194,2e55g4q93y382cg7h0yk5rtud,5698938315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5698938309,130,8,5699276403,197,25285,5698938303,30,"2e55g4q93y382cg7h0yk5rtud, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, eb3ci3a120om80v80mobsus8a, awsod0zmnrukk21d4882ji7e1, 1av9mmv19jwvc4xdr0p9owyxh, 7p8e6lrg50niibeabywbqcgt0, 4ftlhtels58lyzfluwofzwxuy, 9f0jk3wgmlnnmnqrdkh4gnpt6, cjll1xrw3xulnl23c9tlf6rys, 308krssmz6irpfntht1ka78tm, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, 2szgrzcosfeifh664tgt3mfvt, 2wl6h1rlrfnn2mr65vuo3t815, 4gq1u1mqg0qzekh1u5djleeax, 4mxx1oxkiexm0ha34utcmb17t, 6ofu6yc2qwp5ii9cerdq1tk9h, 7h9rf5bjvnsj65rky23jgp2qc, abr79wsl0folgkyvl821ggs2c, 4ggz7e009bq3yltc9o6mifbah, ezviixcyaaj162saxs2yl27s9, c6jh8o2ktcplfl3x5t3fqsmc4",5698938307,59,"1, 32, 35, 6, 4, 15, 46, 8, 18, 16, 10, 2, 5, 7, 11, 20, 13, 25, 34, 19, 24, 21, 44",5698938305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5698938311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809699871,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2025-05-03T19:00:27.328Z,2025-05-03T19:00:27Z,5699277469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Valladolid
2809699883,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-03T19:00:27.328Z,2025-05-03T19:00:30Z,5699277529,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809699913,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-05-03T19:00:27.329Z,2025-05-03T19:00:32Z,5699277671,279,S,5699277665,141,37.7,5699277667,212,22.5,5699277663,140,30.1,5699277669,213,3.52,5699277661,56,Back,,,,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700027,4,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,34.5,39.7,2025-05-03T19:00:32.708Z,2025-05-03T19:00:35Z,5699278251,56,Back,5699278259,213,1.23,5699278255,141,60,5699278257,212,14.7,5699278253,140,39.2,,,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700045,5,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,39.3,62.4,2025-05-03T19:00:35.811Z,2025-05-03T19:00:37Z,5699278343,213,0.32,5699278339,141,69,5699278335,56,Center,5699278337,140,52.2,5699278341,212,14.3,,,,,,,,,,1av9mmv19jwvc4xdr0p9owyxh,Andreas Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700071,6,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,53.3,69.9,2025-05-03T19:00:37.539Z,2025-05-03T19:00:39Z,5699278479,56,Back,5699278493,212,10.9,5699278497,213,3.42,5699278487,141,65.5,5699278483,140,43.3,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700151,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,41.3,64.6,2025-05-03T19:00:39.188Z,2025-05-03T19:00:44Z,5699278919,56,Back,5699278921,140,46,5699278923,141,72.9,5699278927,213,0.85,5699278925,212,7.5,,,,,,,,,,1av9mmv19jwvc4xdr0p9owyxh,Andreas Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700185,8,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,58.9,68.7,2025-05-03T19:00:44.132Z,2025-05-03T19:00:46Z,5699279129,56,Right,5699279133,141,13.5,5699279137,213,4.79,5699279135,212,37.6,5699279131,140,61.6,5699279139,1,,5699279127,155,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700193,9,61,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,61.6,13.5,2025-05-03T19:00:46.688Z,2025-05-03T19:00:47Z,5699279177,56,Right,,,,,,,,,,,,,,,,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2809700275,10,1,1,0,21,agh9ifb2mw3ivjusgedj7c3fe,1,60.7,5.2,2025-05-03T19:00:48.724Z,2025-05-03T19:00:52Z,5699279629,212,5.5,5699279625,140,59,5699279623,56,Right,5699279627,141,12.9,5699279631,213,1.9,,,,,,,,,,7p8e6lrg50niibeabywbqcgt0,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
