id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/10/value,qualifier/11/value,qualifier/13/value,keyPass,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,teamName
2813504923,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-11T13:08:44.538Z,2025-05-11T14:13:38Z,5720214691,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 4ggz7e009bq3yltc9o6mifbah, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, 2szgrzcosfeifh664tgt3mfvt, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 2e55g4q93y382cg7h0yk5rtud, 4mxx1oxkiexm0ha34utcmb17t, bzgh5psb1janz9y3btpswngbu, awsod0zmnrukk21d4882ji7e1, eb3ci3a120om80v80mobsus8a, afxjicw89683nlpms9yy5x51x, 308krssmz6irpfntht1ka78tm, 1av9mmv19jwvc4xdr0p9owyxh, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses",5720214703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720214701,194,ezviixcyaaj162saxs2yl27s9,5720214693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720571171,197,25285,5720214699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720214697,130,8,5720214695,59,"25, 24, 35, 8, 2, 5, 19, 21, 7, 20, 11, 1, 13, 3, 4, 6, 9, 10, 15, 16, 17, 18, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2813507797,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-05-11T13:10:59.500Z,2025-05-11T14:23:23Z,5720230033,194,bf2pf3hs8gcvub4ivlve12ymt,5720230029,130,8,5720230031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720549661,197,239,5720230023,30,"6crmq7vzqts58wg196q48sc7p, bf2pf3hs8gcvub4ivlve12ymt, 39c5g6782qlrtw55fsre7exnt, 1i9wi65k2foqwudeqiyih87hl, aipyotc87m5bdvmvizd5n69k9, atj6u4qul0o2ca57etbmes07o, 39gif4xfy8xddarasbsad56ok, i48mf81fxn2af1xxjzfi8gr9, 5e9ilgrz3tzg9kd1gk3yvrahh, e83ula4wockmc2xid7185kcq2, b4witgokm49tidm1a83qcvbop, 38bp85766w04a0nuulq5fiig9, 3krfyio6dlb6gkoggsmqwkj6c, diod1hv5hv7v7z7mfleev1txx, broq8imimhtlejtffissquy5m, 14qv8npo5alwnb5dud8x82ln8, eihwzqtt27l2l8iu990h68edx, 3jln1gzc0859ymphvq83i0mp5, 2ww626a9v31b072prdx0xf1g4, 2b1aq7e51fjbukd3muxfthd78, d358ce00vstqg3ilinhcc10r8",5720230025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720230035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720230027,59,"1, 17, 20, 8, 14, 35, 15, 19, 9, 5, 7, 13, 34, 10, 11, 16, 18, 21, 29, 31, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572535,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-11T14:15:18.235Z,2025-05-12T03:06:07Z,5720577807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2813572529,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-05-11T14:15:18.235Z,2025-05-11T14:15:18Z,5720577785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572583,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,49.9,49.8,2025-05-11T14:15:18.795Z,2025-05-12T06:04:42Z,5720578021,212,24.7,5720578017,141,37.3,5723081919,178,,5720578027,279,S,5720578013,140,27.8,5720578009,56,Back,5720578025,213,3.49,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572605,4,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,1,27.7,36.7,2025-05-11T14:15:21.635Z,2025-05-12T06:04:47Z,5720578133,56,Back,5720578141,213,4.38,5720578139,212,12.2,5720578137,141,19.7,5723081945,178,,5720578135,140,23.9,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572625,5,1,1,0,5,3kq9cckrnlogidldtdie2fkbl,1,23.9,19.7,2025-05-11T14:15:23.275Z,2025-05-12T06:04:51Z,5720578225,213,2.42,5720578219,140,4.8,5723081969,178,,5720578217,56,Back,5720578221,141,45.7,5720578223,212,26.7,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,Lucas Vázquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572653,6,1,1,0,7,3kq9cckrnlogidldtdie2fkbl,0,4.8,45.7,2025-05-11T14:15:25.355Z,2025-05-12T06:04:55Z,5720578355,141,16.2,5720578361,1,,5720578349,157,,5720578357,212,48.1,5720578359,213,5.85,5720578353,140,46.4,5720578351,56,Back,5723081993,178,,6crmq7vzqts58wg196q48sc7p,T. Courtois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2813572673,3,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,0,53.5,85.4,2025-05-11T14:15:29.195Z,2025-05-12T06:04:58Z,5720578469,213,5.57,5720578463,140,65.1,5720578455,3,,5723082009,388,,5720578465,141,70,5720578459,56,Center,5720578467,212,16.1,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2813572881,8,61,1,0,12,3kq9cckrnlogidldtdie2fkbl,0,31.5,31.6,2025-05-11T14:15:30.595Z,2025-05-12T06:05:09Z,5720579681,56,Back,5723082081,15,,5723082083,388,,,,,,,,,,,,,,,,,1i9wi65k2foqwudeqiyih87hl,F. Valverde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
