id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,teamName
2815051733,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-15T18:12:35.271Z,2025-05-15T19:29:27Z,5728882959,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 4ggz7e009bq3yltc9o6mifbah, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, awsod0zmnrukk21d4882ji7e1, 1av9mmv19jwvc4xdr0p9owyxh, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 2e55g4q93y382cg7h0yk5rtud, 4mxx1oxkiexm0ha34utcmb17t, bkwxem45cf48k14euwqe7rs44, bzgh5psb1janz9y3btpswngbu, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses",5728882967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5729031767,197,26091,5728882969,194,awsod0zmnrukk21d4882ji7e1,5728882971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728882961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728882963,59,"25, 24, 35, 8, 4, 15, 19, 21, 9, 20, 11, 1, 13, 2, 3, 6, 10, 14, 16, 17, 18, 32",5728882965,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815052615,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2025-05-15T18:14:30.906Z,2025-05-15T19:32:06Z,5728887717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728887709,30,"5f8kjgsaabn2li5r7bvpebbsa, 7h0b81yjiiu356rycsakgd0yc, 5djkwcoflvxcv5oida6txfyp6, 74wjzeja92l4q8fpy1bkmcsfd, cddggachzf198p1yhq9owtofd, 6810qbng9pfg1bztczv11grmd, 1am59svvwz5idpdjq307dd5hw, 7y8ns61qioqu7kfsqzkvkwhuy, 5fqvl0m1rkzhj9tmafrcxur6c, 8qvqdjw1d58mw7420lpmk7bah, e5qp6dh1prc55llew51zpy1gp, bglk6tokkpgjltpzljp1p345x, 1wylybleussatoxg8u6reao2y, eyhvr45vc1n690dxobcthmndh, 2rqxh5mex336ci45jaw428y5l, 1o4lfwkyx28j63ara4ye4wjdg, 1ore4ght7ls393tcpbmah9dcl, 6peka1v0xt2ctv0qtoaw9cslx, c23q56z612clw2oxpordhrwiy, 59u1gn30f6bg5lr06zsglykq2, 1whtyw1adggpz4j1xp7sjbeg9, ch1bilea3jhwexlcdin0llyc4",5728887721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728887719,194,e5qp6dh1prc55llew51zpy1gp,5729025279,197,270,5728887715,130,8,5728887713,59,"1, 23, 22, 10, 4, 6, 31, 19, 2, 8, 7, 13, 33, 3, 5, 9, 11, 12, 16, 17, 18, 42",5728887711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078499,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-05-15T19:30:36.998Z,2025-05-15T19:30:40Z,5729033583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078497,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2025-05-15T19:30:36.998Z,2025-05-16T03:59:26Z,5729033573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078519,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-05-15T19:30:37.038Z,2025-05-16T05:33:15Z,5729630967,178,,5729033667,56,Back,5729033677,279,S,5729033671,141,66.9,5729033673,212,12.7,5729033669,140,44.9,5729033675,213,2.01,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078531,4,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,44.9,66.9,2025-05-15T19:30:37.998Z,2025-05-16T05:33:38Z,5729631043,178,,5729033759,56,Back,5729033767,213,3.91,5729033765,212,11.5,5729033761,140,37,5729033763,141,55.1,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078549,5,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,45.9,52.1,2025-05-15T19:30:45.598Z,2025-05-16T05:33:53Z,5729631153,178,,5729033853,140,46.7,5729033851,56,Back,5729033855,141,28.5,5729033859,213,4.76,5729033857,212,16.1,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078587,6,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,44.4,28.9,2025-05-15T19:30:48.958Z,2025-05-16T05:33:58Z,5729034047,196,,5729034059,1,,5729631183,178,,5729034051,140,11.4,5729034053,141,90,5729034055,212,54.1,5729034057,213,2.27,5729034049,56,Back,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078599,7,1,1,0,18,agh9ifb2mw3ivjusgedj7c3fe,1,11.2,90,2025-05-15T19:30:55.158Z,2025-05-16T05:34:04Z,5729034113,141,97.1,5729034119,213,0.65,5729034117,212,8,5729631225,178,,5729034109,140,17.3,5729034105,56,Back,,,,,,,1av9mmv19jwvc4xdr0p9owyxh,Andreas Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078639,8,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,17.1,96.3,2025-05-15T19:30:56.478Z,2025-05-16T05:34:08Z,5729034329,213,5.51,5729034323,140,26.9,5729631257,178,,5729034321,56,Back,5729034325,141,81.5,5729034327,212,14.4,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078659,9,1,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,0,39.9,81.7,2025-05-15T19:31:01.838Z,2025-05-16T05:34:12Z,5729034405,141,53.9,5729034403,140,70.1,5729034401,56,Center,5729034409,213,5.75,5729631285,178,,5729034407,212,36.9,5729034411,1,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078661,3,49,1,0,27,c8llrezkm3b3op4afrou6b487,1,25.5,51.6,2025-05-15T19:31:04.598Z,2025-05-16T05:34:27Z,,,,,,,,,,,,,,,,,,,,,,,,,cddggachzf198p1yhq9owtofd,M. Kumbulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078721,4,1,1,0,27,c8llrezkm3b3op4afrou6b487,1,25.1,51,2025-05-15T19:31:04.678Z,2025-05-16T05:34:35Z,5729034717,56,Back,5729034719,140,8.2,5729034725,213,3.17,5729034723,212,17.8,5729034721,141,50.3,5729631419,178,,,,,,,,cddggachzf198p1yhq9owtofd,M. Kumbulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078743,5,1,1,0,32,c8llrezkm3b3op4afrou6b487,1,8.9,46.1,2025-05-15T19:31:09.118Z,2025-05-16T05:34:48Z,5729034817,213,6.25,5729631515,178,,5729034809,56,Center,5729034819,1,,5729034807,157,,5729034811,140,54.1,5729034813,141,43.9,5729034815,212,47.5,5f8kjgsaabn2li5r7bvpebbsa,Joan García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078751,6,1,1,0,34,c8llrezkm3b3op4afrou6b487,0,54.1,43.9,2025-05-15T19:31:11.838Z,2025-05-16T05:35:10Z,5729034885,156,,5729034839,56,Center,5729034847,213,2.37,5729034845,212,3.5,5729034841,140,51.7,5729034843,141,47.5,5729631611,388,,5729631613,21,,5fqvl0m1rkzhj9tmafrcxur6c,Roberto Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2815078739,10,8,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,46.2,52.5,2025-05-15T19:31:12.518Z,2025-05-16T05:35:27Z,5729034805,56,Back,5729310391,385,,5729631695,178,,,,,,,,,,,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2815078775,11,1,1,0,39,agh9ifb2mw3ivjusgedj7c3fe,0,45.3,10.1,2025-05-15T19:31:16.358Z,2025-05-16T05:35:49Z,5729631793,178,,5729035029,213,0.06,5729035021,56,Right,5729035023,140,60.2,5729035025,141,11.4,5729035027,212,15.7,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
