id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/20/value,teamName
2724444637,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-22T15:21:42.626Z,2024-09-22T16:29:41Z,5233490459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5233490449,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ggz7e009bq3yltc9o6mifbah, 4jpwo30o4qp53k59oxvuj90k4, cd5napttmwk5o9gxw3cbb4ted, 5kodjbsarkql4vhs126p2vhwq, 4ftlhtels58lyzfluwofzwxuy, afxjicw89683nlpms9yy5x51x, abr79wsl0folgkyvl821ggs2c, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, yhipl27kpzoq85sizfyzmvx0, bzgh5psb1janz9y3btpswngbu, 308krssmz6irpfntht1ka78tm, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84, 9sanzxzkj52vz1mqj1d7g08b8, bkwxem45cf48k14euwqe7rs44",5233490453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5233490465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5233490457,130,4,5233490463,197,26091,5233490461,194,2e55g4q93y382cg7h0yk5rtud,5233490455,59,"1, 23, 35, 24, 36, 5, 14, 8, 9, 19, 11, 13, 26, 3, 10, 17, 18, 32, 39, 41, 42, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2724448881,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2024-09-22T15:25:25.216Z,2024-09-22T16:33:50Z,5233514363,197,284,5233514361,194,c29mprqv2ulztd22b6uckczx1,5233514355,59,"13, 17, 23, 14, 4, 2, 21, 10, 22, 19, 16, 1, 3, 6, 11, 12, 15, 18, 20, 26",5233514353,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5233514357,130,2,5233514365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5233514351,30,"5mj2vxkh3pmkbwj139mp93n4l, 6wpnjdlg2p8f19y3gjpz1su6t, 4x854vpovag131b2kdutv4qju, b5rea5r4h8bclpenau2au142x, 9jw0h4escxh3eqz8oh860r3yt, 59knsm910b1ruk024rkksla3u, 4eezya3lwcwur6c8s6rl0rzvu, c29mprqv2ulztd22b6uckczx1, drwacyyicuhy3heg4j0ipqj85, 3n9jnuteyjx6w6dxviuead0b9, 5zoz3mjooujpv0wdcphyrztd6, 6ddxujeb3873j5evwiz8n4wt0, e615cmv1tfzu84f0z8mwi5711, 28psc296gj3umo59qqha8jil1, 73jvx4opw9wvawwpg0bnt8ay2, 54w62kh31qyyu7tipmjlt95g5, 1wileoy8mxtd2t1b106uhwzro, ekm47qd8w1x0456lm1tmf5re1, 20ebw399jhbq0i5x2eacrrs6i, 9rtfwu0z7qtk1kglenp2vm13o",5233514359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2724520107,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-22T16:31:30.654Z,2024-09-22T16:31:30Z,5233909679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2724520139,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2024-09-22T16:31:30.654Z,2024-09-23T05:28:25Z,5233909833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2724520163,3,1,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,50,49.9,2024-09-22T16:31:30.726Z,2024-09-23T07:29:52Z,5233909949,213,3.17,5233909951,279,S,5233909943,140,33.9,5233909941,56,Back,5233909947,212,16.9,5236270935,178,,5233909945,141,49.3,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2724522813,23,1,1,0,1,74mcjsm72vr3l9pw2i4qfjchj,1,34.7,49.9,2024-09-22T16:31:32.139Z,2024-09-23T07:29:57Z,5233924035,140,32.7,5233924039,141,59.4,5233924041,212,6.8,5236270967,178,,5233924033,56,Back,5233924043,213,1.89,,,,,,,9jw0h4escxh3eqz8oh860r3yt,E. Bailly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2724520221,4,1,1,0,3,74mcjsm72vr3l9pw2i4qfjchj,0,33.2,55.5,2024-09-22T16:31:34.374Z,2024-09-23T07:30:03Z,5233910237,141,26.5,5233910241,213,5.85,5233910231,157,,5233910233,56,Center,5233910243,1,,5236271023,178,,5233910239,212,47.3,5233910235,140,74.1,59knsm910b1ruk024rkksla3u,Logan Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
2724520263,3,1,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,1,29.5,73.1,2024-09-22T16:31:36.876Z,2024-09-23T07:30:07Z,5233910435,141,88.5,5233910429,3,,5233910439,213,0.67,5236271057,388,,5233910433,140,42,5233910431,56,Back,5233910437,212,16.8,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2724520269,4,61,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,0,42,88.5,2024-09-22T16:31:38.514Z,2024-09-23T07:30:16Z,5233910447,56,Back,5236271113,178,,,,,,,,,,,,,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2724520303,5,1,1,0,9,74mcjsm72vr3l9pw2i4qfjchj,1,61,13.8,2024-09-22T16:31:39.749Z,2024-09-23T07:30:20Z,5233910635,140,68.1,5233910649,213,5.51,5236271137,178,,5233910647,212,10.4,5233910631,56,Right,5233910643,141,3.2,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villarreal
