id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,teamName
2725788949,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-25T18:03:05.478Z,2024-09-25T19:03:02Z,5240905901,59,"13, 23, 3, 17, 2, 5, 19, 24, 9, 14, 11, 26, 7, 8, 10, 18, 32, 35, 36, 39, 41, 42, 40",5240905899,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5240905909,197,25285,5240905903,130,8,5240905911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5240905897,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 3hht0os2uzu234yq550i3fbe2, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 4ggz7e009bq3yltc9o6mifbah, afxjicw89683nlpms9yy5x51x, 5kodjbsarkql4vhs126p2vhwq, 2wl6h1rlrfnn2mr65vuo3t815, yhipl27kpzoq85sizfyzmvx0, 2szgrzcosfeifh664tgt3mfvt, 4ftlhtels58lyzfluwofzwxuy, 308krssmz6irpfntht1ka78tm, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84, 9sanzxzkj52vz1mqj1d7g08b8, 45twlfkhlvgcnzxp63nlvyluc",5240905905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5240905907,194,2wl6h1rlrfnn2mr65vuo3t815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725789789,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2024-09-25T18:04:14.713Z,2024-09-25T19:14:20Z,5240910373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5240910387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5240910371,30,"vota9gwygxp3wc998tl7ldxx, 9see13i1f0n1ju4uhs8sijutx, 5lzbyj5i0cotpry4gneap8c89, ch1lxxbn01at4jmkafy4uevh1, bdaxbuz59551ktjj7g31slfc9, 2o3bka7gokfjkej1f600ovbo5, 64h0x8sur55l07oaiuog4v2z9, eiqt71z69beq7akuhot0foset, 7kser55g81n3lqj9rjd2mwftg, e5er1rgo8lluy6qjk4mcew6c4, eucew4k6eswqr6emzsdg4if3d, 6bdn7qrzqxuurt39t5j6mooo9, 4fkiuj6nsn5vcrym13d3bmzv8, 5gorfhj7uwpomrhlso1krxrkl, 52e2ogoex674bz6pcwluapdxx, k23exoxg1u76w0qaxc9gdpm, dkt9892ixwnz1bkmgileo71sl, ejrke7z9ve17jhj7x4glh206i, cue88fm1v1ysfuwhql68czydx, 6j8k3j0qp5zy19mwpmgx0l990, czo50ep8l8ubnp8ifn6bx87pw, ad5kavddxekx6eckgq4y3v4a2, 2or4vs22b27w14kgudoawh9ii",5240910379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5240910383,197,25358,5240910377,130,7,5240910375,59,"13, 2, 21, 5, 4, 15, 17, 11, 6, 20, 7, 1, 35, 8, 9, 10, 16, 19, 22, 26, 29, 34, 36",5240910381,194,9see13i1f0n1ju4uhs8sijutx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725828683,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-25T19:01:40.140Z,2024-09-26T04:10:46Z,5241125515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725828677,3,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2024-09-25T19:01:40.140Z,2024-09-25T19:01:40Z,5241125491,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725828765,4,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,50.1,49.7,2024-09-25T19:01:40.209Z,2024-09-26T05:49:02Z,5241125915,279,S,5241125913,213,3.51,5241125909,141,49.1,5242158759,178,,5241125905,56,Back,5241125911,212,1.1,5241125907,140,49.1,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725828819,5,1,1,0,1,1n1j0wsl763lq7ee1k0c11c02,0,53.2,48.4,2024-09-25T19:01:41.637Z,2024-09-26T05:49:07Z,5241126173,212,41.2,5242158767,178,,5241126169,141,38.4,5241126163,157,,5241126179,1,,5241126177,213,6.12,5241126165,56,Center,5241126167,140,91.9,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725828817,3,52,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,11.8,63.7,2024-09-25T19:01:47.588Z,2024-09-26T05:49:26Z,5242158829,388,,5241852295,378,,,,,,,,,,,,,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829005,4,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,10.2,52.8,2024-09-25T19:01:52.528Z,2024-09-26T05:49:32Z,5241127163,141,30.4,5241127161,140,14,5241127157,123,,5241127165,212,15.7,5241127167,213,4.97,5241127159,56,Back,5242158845,178,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829041,5,1,1,0,22,agh9ifb2mw3ivjusgedj7c3fe,1,35.2,43.9,2024-09-25T19:02:02.248Z,2024-09-26T05:49:37Z,5241127353,56,Back,5241127359,212,21.6,5241127361,213,1.69,5241127357,141,75.4,5241127355,140,32.7,5242158861,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829089,6,1,1,0,24,agh9ifb2mw3ivjusgedj7c3fe,1,28.4,73.3,2024-09-25T19:02:05.018Z,2024-09-26T05:49:42Z,5242158881,178,,5241127619,56,Back,5241127623,141,32.8,5241127621,140,22.6,5241127627,213,4.49,5241127625,212,28.2,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829119,7,1,1,0,27,agh9ifb2mw3ivjusgedj7c3fe,1,23.5,32.8,2024-09-25T19:02:07.768Z,2024-09-26T05:50:02Z,5242158933,178,,5241127757,213,5.09,5241127755,212,17.9,5241127749,56,Back,5241127751,140,29.8,5241127753,141,8.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829167,8,1,1,0,30,agh9ifb2mw3ivjusgedj7c3fe,1,28.9,7.4,2024-09-25T19:02:10.418Z,2024-09-26T05:50:07Z,5241128017,213,2.22,5241128015,212,9.3,5242158953,178,,5241128011,140,23.5,5241128013,141,18.3,5241128009,56,Back,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829203,9,1,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,1,23,23.6,2024-09-25T19:02:12.656Z,2024-09-26T05:50:10Z,5241128183,141,46.3,5241128187,213,2.24,5241128185,212,19.7,5241128179,56,Back,5241128181,140,11.4,5242158959,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829251,10,1,1,0,35,agh9ifb2mw3ivjusgedj7c3fe,1,11.4,47.2,2024-09-25T19:02:15.418Z,2024-09-26T05:50:13Z,5241128441,140,27.6,5241128443,141,81.8,5241128439,56,Back,5241128445,212,29,5242158969,178,,5241128447,213,0.94,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829277,11,1,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,1,25.2,80.9,2024-09-25T19:02:18.749Z,2024-09-26T05:50:17Z,5241128595,212,13.2,5241128597,213,0.65,5241128593,141,92.7,5241128589,56,Back,5242158977,178,,5241128591,140,35.2,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829287,12,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,0,33.3,92.1,2024-09-25T19:02:20.627Z,2024-09-26T05:50:21Z,5241128641,140,35.7,5242158989,178,,5241128647,213,5.01,5241128645,212,8.5,5241128643,141,80.2,5241128639,56,Back,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2725829323,6,49,1,0,41,1n1j0wsl763lq7ee1k0c11c02,1,61.9,14.5,2024-09-25T19:02:21.999Z,2024-09-26T05:50:27Z,,,,,,,,,,,,,,,,,,,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725829391,7,1,1,0,43,1n1j0wsl763lq7ee1k0c11c02,1,67.4,9.5,2024-09-25T19:02:23.609Z,2024-09-26T05:50:37Z,5241129165,140,70.5,5241129167,141,3.9,5242159039,178,,5241129171,213,5.42,5241129163,56,Right,5241129169,212,5,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725829437,8,1,1,0,46,1n1j0wsl763lq7ee1k0c11c02,1,69.9,6.5,2024-09-25T19:02:26.919Z,2024-09-26T05:50:40Z,5241129391,212,10.4,5241129393,213,2.57,5242159055,178,,5241129389,141,14.8,5241129387,140,61.6,5241129385,56,Right,,,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2725829453,9,1,1,0,48,1n1j0wsl763lq7ee1k0c11c02,1,61.6,14.8,2024-09-25T19:02:28.707Z,2024-09-26T05:50:45Z,5241129487,56,Right,5242159063,178,,5241129495,213,3.82,5241129491,141,8.6,5241129493,212,6.7,5241129489,140,56.6,,,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
