id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2727331559,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-28T17:56:43.488Z,2024-09-28T18:58:57Z,5249383169,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ggz7e009bq3yltc9o6mifbah, 4jpwo30o4qp53k59oxvuj90k4, bkwxem45cf48k14euwqe7rs44, 5kodjbsarkql4vhs126p2vhwq, 4ftlhtels58lyzfluwofzwxuy, afxjicw89683nlpms9yy5x51x, 2szgrzcosfeifh664tgt3mfvt, 9f0jk3wgmlnnmnqrdkh4gnpt6, yhipl27kpzoq85sizfyzmvx0, 45twlfkhlvgcnzxp63nlvyluc, bzgh5psb1janz9y3btpswngbu, cd5napttmwk5o9gxw3cbb4ted, 308krssmz6irpfntht1ka78tm, 2wl6h1rlrfnn2mr65vuo3t815, 3hht0os2uzu234yq550i3fbe2, abr79wsl0folgkyvl821ggs2c, 8xjdsfk5u7wph4o7h1w45dses, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84, 9sanzxzkj52vz1mqj1d7g08b8",5249383171,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5249383183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5249383181,197,25288,5249383173,59,"13, 23, 35, 24, 36, 2, 14, 8, 9, 7, 18, 26, 40, 3, 5, 10, 11, 17, 19, 32, 39, 41, 42",5249383179,194,4ftlhtels58lyzfluwofzwxuy,5249383175,130,4,5249383177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2727332895,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2024-09-28T17:58:21.431Z,2024-09-28T20:17:57Z,5249390807,30,"amjegysk3et638l4od103c7o5, 7r7wgbcu7vmlj19m9jpjhu1yi, 8ij122duxc65thlj8flk2xdjp, d3pdr28q2n295ldry2lc1uklx, bi8nrmyaxsgbhixw921fzvm5l, 5tiol5jc7h11oic9vvyu83fqi, eqw6fu3no9qxejk17tqgeey5m, bpf2fcb73l96fwspo72shmkiy, 946z96r5q70ryslp3hlhafnx1, 9xbo6c8uq29ueuyinngjjiaj9, bzv32rpgvs111w8e2gch452xg, 15no5m0njma23gf0ygu9agt05, nvnqfn0xoddn4rem857xjz84, akjusy9dt1qd2fjhttviek6ol, 7ms6l8qho3p4jm1soleldqvv9, 5b9awsil5bgqrsc13xsoj35nu, cy3c0cj6yy1mokaj0mlk4k9re, 1vupjbihmf0b4gzjskmrmptqt, 5t2ngljfiapcn98qlnbifg53p, 5xthw4pr86vwld0r2bz0b2v2t, f38syop4mrz23n5vdcugcuxgp, bvs3rixmobb9gje6kfvhgb52i, 6nq6p1kfoejfmnzpckquv4tn8",5249390821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5249390815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5249390817,194,amjegysk3et638l4od103c7o5,5249390811,59,"1, 12, 3, 6, 24, 22, 8, 10, 17, 14, 19, 13, 32, 2, 4, 5, 9, 15, 16, 20, 21, 23, 27",5249390809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5249390819,197,278,5249390813,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395121,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2024-09-28T19:01:06.794Z,2024-09-29T05:46:39Z,5249732363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395119,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-28T19:01:06.794Z,2024-09-28T19:01:06Z,5249732351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2727395139,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,50,50,2024-09-28T19:01:06.874Z,2024-09-29T08:56:16Z,5249732481,212,14.9,5249732479,141,49.3,5249732483,213,3.17,5251833785,178,,5249732485,279,S,5249732475,56,Back,5249732477,140,35.8,,,,9xbo6c8uq29ueuyinngjjiaj9,Rubén García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395167,4,1,1,0,1,2l0ldgiwsgb8d6y3z0sfgjzyj,1,34.2,51.5,2024-09-28T19:01:08.768Z,2024-09-29T08:56:24Z,5249732653,212,12.2,5249732649,140,45.7,5249732651,141,49.4,5249732655,213,6.17,5251833947,178,,5249732647,56,Back,,,,,,,d3pdr28q2n295ldry2lc1uklx,Lucas Torró,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395183,5,1,1,0,3,2l0ldgiwsgb8d6y3z0sfgjzyj,1,46.4,49.4,2024-09-28T19:01:10.567Z,2024-09-29T08:56:26Z,5249732753,56,Left,5249732759,212,31.8,5249732761,213,1.25,5251833967,178,,5249732757,141,93.8,5249732755,140,56,,,,,,,9xbo6c8uq29ueuyinngjjiaj9,Rubén García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395191,6,61,1,0,7,2l0ldgiwsgb8d6y3z0sfgjzyj,0,54.3,85.6,2024-09-28T19:01:13.966Z,2024-09-29T08:56:32Z,5249732789,56,Left,5251834025,178,,,,,,,,,,,,,,,,,,,,8ij122duxc65thlj8flk2xdjp,Juan Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
2727395221,3,3,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,0,55,10.9,2024-09-28T19:01:16.899Z,2024-09-29T08:56:42Z,5250763495,465,,5249732943,286,,5251834157,178,,5249733051,233,7,5249732941,56,Right,,,,,,,,,,2szgrzcosfeifh664tgt3mfvt,Ferran Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2727395235,7,7,1,0,10,2l0ldgiwsgb8d6y3z0sfgjzyj,1,45,89.1,2024-09-28T19:01:17.097Z,2024-09-29T08:56:44Z,5250763589,383,,5251834199,178,,5249733029,233,3,5249733005,56,Back,5249733007,285,,,,,,,,,,,d3pdr28q2n295ldry2lc1uklx,Lucas Torró,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osasuna
