id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/18/value,keyPass,qualifier/16/value,qualifier/17/value,teamName
2731570917,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-06T13:01:11.550Z,2024-10-06T13:01:11Z,5272493081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5272493083,59,"13, 32, 3, 8, 2, 5, 19, 17, 9, 11, 7, 26, 40, 10, 14, 18, 21, 23, 24, 35, 36",5272493087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272493085,130,8,5272493079,30,"4mxx1oxkiexm0ha34utcmb17t, 8xjdsfk5u7wph4o7h1w45dses, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, 2szgrzcosfeifh664tgt3mfvt, yhipl27kpzoq85sizfyzmvx0, 45twlfkhlvgcnzxp63nlvyluc, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, cscn06kwqfzo09h0dc5ybt1pl, 4ggz7e009bq3yltc9o6mifbah, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4",5272493093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272493089,194,2wl6h1rlrfnn2mr65vuo3t815,5272493091,197,25288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731575519,1,34,16,0,0,4dtdjgnpdq9uw4sdutti0vaar,1,0,0,2024-10-06T13:04:54.696Z,2024-10-06T14:15:45Z,5272517029,130,8,5272517035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272517027,59,"1, 14, 3, 8, 5, 12, 7, 6, 11, 19, 21, 13, 31, 9, 10, 15, 16, 17, 20, 22, 23, 24, 36",5273047211,197,24702,5272517025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5272517023,30,"c7i0lduij4vsnluxisdnaxsk5, 9tw6rz3lfmn06fzsabtx9ei95, d34tmogp5h4rwuo3pcxtwp0fe, 4zve4017u2i3zvxlnjruv25t5, br4wylyaeqyxoss5of7r51boq, albt55j4oir1veynmos532psk, bb2v7p23g1w8kb3nhuuwnil4a, cme92rbmqszu51sjm99ho8a21, 1nd8l0ofw9x779c0ufwbbo4ph, 5a3c6m63r709u5p8izg3qupxx, 1ttc96b92xjfx1ta3vdwya0dm, ed3bp9uiwa7h03wddi028xdgq, 9lzyhlz2mc7uwvv9nfcvl2tey, egt3tl6hu2bfi16pqyxwv4onp, d6vfmln3oxuel34y15hnp8bft, c90gk99jn34wxtlad784hpnv8, 8zmj7mo9zxsoo5trhmmgmgb56, 4l2rgx65vzgrrxorbc1edq8yd, 6eb3jpi6t6z2ergmgzcpckdpm, c44zop1hvob3cmgu2grj8m0yy, 16mj3l623plqx1hm9zvpvn5yh, 8ycvfctf7c3yljnbtltsogkph, duq3fr3o6fcddxihn6mgq1tlg",5272517031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272517033,194,cme92rbmqszu51sjm99ho8a21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675033,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-06T14:15:11.404Z,2024-10-06T14:15:12Z,5273058083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731674985,2,32,1,0,0,4dtdjgnpdq9uw4sdutti0vaar,1,0,0,2024-10-06T14:15:11.404Z,2024-10-07T02:06:59Z,5273057833,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675051,3,1,1,0,0,4dtdjgnpdq9uw4sdutti0vaar,1,50,50,2024-10-06T14:15:11.451Z,2024-10-07T06:21:26Z,5273058219,212,13.5,5273058215,140,37.2,5273058217,141,50.9,5276374863,178,,5273058221,213,3.1,5273058213,56,Back,5273058227,279,S,,,,5a3c6m63r709u5p8izg3qupxx,Stoichkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675107,4,1,1,0,2,4dtdjgnpdq9uw4sdutti0vaar,1,37.5,50.7,2024-10-06T14:15:13.522Z,2024-10-07T06:21:31Z,5273058469,141,51,5273058475,213,0.01,5273058461,56,Center,5273058473,212,17,5276374895,178,,5273058465,140,53.7,,,,,,,cme92rbmqszu51sjm99ho8a21,Ander Guevara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675119,5,1,1,0,2,4dtdjgnpdq9uw4sdutti0vaar,1,53.7,51,2024-10-06T14:15:14.312Z,2024-10-07T06:21:34Z,5276374921,178,,5273058529,56,Center,5273058535,212,5.4,5273058537,213,1.57,5273058533,141,59,5273058531,140,53.7,,,,,,,5a3c6m63r709u5p8izg3qupxx,Stoichkov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675175,6,1,1,0,3,4dtdjgnpdq9uw4sdutti0vaar,0,53.7,59,2024-10-06T14:15:15.142Z,2024-10-07T06:21:37Z,5273058821,56,Center,5273058823,140,70.2,5273058825,141,42.4,5276374951,178,,5273058827,212,20.7,5273058829,213,5.71,,,,,,,4zve4017u2i3zvxlnjruv25t5,Antonio Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675243,3,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,0,31.8,67.9,2024-10-06T14:15:16.551Z,2024-10-07T06:21:41Z,5273059205,157,,5273059207,56,Center,5276374987,178,,5273059215,213,5.6,5273059217,1,,5273059211,141,28.3,5273059209,140,63,5273059213,212,42.4,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675355,7,1,1,0,8,4dtdjgnpdq9uw4sdutti0vaar,0,37.5,71.8,2024-10-06T14:15:19.903Z,2024-10-07T06:21:45Z,5273059811,140,34.5,5273059813,141,95.4,5273059809,56,Back,5273059815,212,16.4,5273059817,213,1.76,5276375015,388,,5273059807,3,,,,,albt55j4oir1veynmos532psk,S. Mouriño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731675303,4,49,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,64.1,7.7,2024-10-06T14:15:20.715Z,2024-10-07T06:21:51Z,,,,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675491,5,1,1,0,14,agh9ifb2mw3ivjusgedj7c3fe,1,67.5,7.7,2024-10-06T14:15:25.518Z,2024-10-07T06:21:55Z,5273060641,141,9.7,5273060639,140,54.1,5273060633,56,Right,5276375107,178,,5273060647,213,3.05,5273060645,212,14.1,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675571,6,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,55.5,10.3,2024-10-06T14:15:27.956Z,2024-10-07T06:21:58Z,5273061141,56,Back,5273061143,140,39.7,5273061147,212,19.7,5273061145,141,25.9,5276375127,178,,5273061151,213,2.57,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675665,7,1,1,0,19,agh9ifb2mw3ivjusgedj7c3fe,1,40.9,31.2,2024-10-06T14:15:31.022Z,2024-10-07T06:22:01Z,5273061655,213,1.31,5273061651,141,74.1,5273061653,212,30.2,5276375155,178,,5273061649,140,48.2,5273061647,56,Back,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675715,8,1,1,0,23,agh9ifb2mw3ivjusgedj7c3fe,1,53.8,76.1,2024-10-06T14:15:34.912Z,2024-10-07T06:22:03Z,5273061869,212,7.1,5273061871,213,4.62,5276375175,178,,5273061861,56,Center,5273061867,141,65.7,5273061865,140,53.2,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675737,9,1,1,0,25,agh9ifb2mw3ivjusgedj7c3fe,1,54.4,69.7,2024-10-06T14:15:36.910Z,2024-10-07T06:22:06Z,5276375203,178,,5273062009,213,2.24,5273062003,140,46.2,5273062001,56,Back,5273062005,141,85.6,5273062007,212,13.8,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675863,10,1,1,0,28,agh9ifb2mw3ivjusgedj7c3fe,1,42.6,75.1,2024-10-06T14:15:40.125Z,2024-10-07T06:22:09Z,5273062729,141,44.3,5276375237,178,,5273062717,56,Back,5273062723,140,45.1,5273062731,212,21.1,5273062733,213,4.84,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731675951,11,1,1,0,32,agh9ifb2mw3ivjusgedj7c3fe,1,46.5,39.1,2024-10-06T14:15:43.455Z,2024-10-07T06:22:11Z,5276375251,178,,5273063185,212,19.4,5273063187,213,5.05,5273063179,56,Right,5273063181,140,52.6,5273063183,141,12.2,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676031,12,1,1,0,34,agh9ifb2mw3ivjusgedj7c3fe,1,53,13.8,2024-10-06T14:15:46.308Z,2024-10-07T06:22:13Z,5276375275,178,,5273063653,56,Back,5273063659,212,11.5,5273063661,213,2.24,5273063657,141,27.1,5273063655,140,46.2,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676085,13,1,1,0,38,agh9ifb2mw3ivjusgedj7c3fe,1,47.8,30.4,2024-10-06T14:15:50.163Z,2024-10-07T06:22:16Z,5273063961,141,11.4,5273063955,56,Right,5273063957,140,56.9,5273063965,212,16.1,5273063969,213,5.35,5276375293,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676111,14,1,1,0,40,agh9ifb2mw3ivjusgedj7c3fe,1,58.3,10.7,2024-10-06T14:15:52.337Z,2024-10-07T06:22:19Z,5273064083,212,10.1,5273064081,141,18,5276375333,178,,5273064079,140,66.7,5273064085,213,0.51,5273064077,56,Right,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676121,15,1,1,0,41,agh9ifb2mw3ivjusgedj7c3fe,1,66.7,18,2024-10-06T14:15:52.965Z,2024-10-07T06:22:22Z,5273064155,213,2.15,5273064183,156,,5273064151,141,26.2,5273064149,140,63.2,5273064153,212,6.7,5273064147,56,Center,5276375355,178,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676181,16,1,1,0,42,agh9ifb2mw3ivjusgedj7c3fe,1,63.7,25.9,2024-10-06T14:15:53.881Z,2024-10-07T06:22:25Z,5273064485,56,Center,5273064487,140,71,5276375379,178,,5273064493,213,0.23,5273064491,212,7.9,5273064489,141,28.5,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676203,17,1,1,0,43,agh9ifb2mw3ivjusgedj7c3fe,0,71,28.5,2024-10-06T14:15:54.531Z,2024-10-07T06:22:32Z,5273064607,140,85.4,5273064605,56,Right,5276375431,178,,5273064611,212,20.4,5273064613,213,5.55,5273064609,141,8.3,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676263,8,12,1,0,45,4dtdjgnpdq9uw4sdutti0vaar,1,12.6,89.3,2024-10-06T14:15:57.178Z,2024-10-07T06:22:35Z,5273064905,213,0.44,5273064901,141,100,5273064967,167,,5273064897,56,Back,5276375455,178,,5273064903,212,18.8,5273064899,140,28.8,,,,d34tmogp5h4rwuo3pcxtwp0fe,Manu Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731676271,9,5,1,0,47,4dtdjgnpdq9uw4sdutti0vaar,0,27.6,101.5,2024-10-06T14:15:59.155Z,2024-10-07T06:22:38Z,5273064935,56,Back,5273064937,347,,5273066561,233,18,,,,,,,,,,,,,,,,d34tmogp5h4rwuo3pcxtwp0fe,Manu Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731676553,18,5,1,0,47,agh9ifb2mw3ivjusgedj7c3fe,1,72.4,-1.5,2024-10-06T14:15:59.155Z,2024-10-07T06:22:38Z,5273066469,347,,5273066505,233,9,5273066467,56,Right,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676589,19,1,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,0,73.2,0,2024-10-06T14:16:12.501Z,2024-10-07T06:22:40Z,5273066629,56,Right,5273066639,213,0.72,5273066637,212,18.1,5273066635,141,15.9,5273066625,107,,5273066633,140,86.1,,,,,,,8xjdsfk5u7wph4o7h1w45dses,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676623,10,8,1,1,2,4dtdjgnpdq9uw4sdutti0vaar,1,15.5,86.8,2024-10-06T14:16:13.837Z,2024-10-07T06:22:44Z,5273066801,56,Back,5275826757,384,,5276375503,178,,,,,,,,,,,,,,,,,cme92rbmqszu51sjm99ho8a21,Ander Guevara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731676751,11,1,1,1,3,4dtdjgnpdq9uw4sdutti0vaar,0,24,90.6,2024-10-06T14:16:15.259Z,2024-10-07T06:22:49Z,5273067487,157,,5273067499,1,,5273067495,212,51.5,5273067497,213,5.96,5273067493,141,66.6,5276375529,178,,5273067489,56,Center,5273067491,140,70.5,1ttc96b92xjfx1ta3vdwya0dm,A. Rebbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves
2731676905,20,1,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,28.5,37.7,2024-10-06T14:16:22.474Z,2024-10-07T06:22:52Z,5273068325,140,34.5,5273068327,141,27.4,5273068331,213,5.44,5273068323,56,Back,5273068329,212,9.4,5276375553,178,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676939,21,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,42,27.9,2024-10-06T14:16:26.019Z,2024-10-07T06:22:56Z,5276375577,178,,5273068529,213,6.16,5273068525,141,26.8,5273068527,212,6.2,5273068521,56,Back,5273068523,140,47.9,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2731676979,22,1,1,1,16,agh9ifb2mw3ivjusgedj7c3fe,1,47.9,26.8,2024-10-06T14:16:27.876Z,2024-10-07T06:22:58Z,5273068811,140,41.6,5273068809,56,Back,5273068813,141,36.6,5276375611,178,,5273068817,213,2.35,5273068815,212,9.4,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
