id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,teamName
2765121089,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-01-12T17:55:02.299Z,2025-01-12T17:55:01Z,5455285019,194,bf2pf3hs8gcvub4ivlve12ymt,5455285015,130,8,5455285011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5455285023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5455285009,30,"6crmq7vzqts58wg196q48sc7p, bf2pf3hs8gcvub4ivlve12ymt, 6q69l3ppqfqbryjubcrujfi6t, en2c7z1raqmcwee78297pbnu2, aipyotc87m5bdvmvizd5n69k9, 6fzbp94hf19ysotdassrqdc5x, broq8imimhtlejtffissquy5m, 1i9wi65k2foqwudeqiyih87hl, 5e9ilgrz3tzg9kd1gk3yvrahh, e83ula4wockmc2xid7185kcq2, b4witgokm49tidm1a83qcvbop, 38bp85766w04a0nuulq5fiig9, 42mke5h9m4g7idv9q6ltuhkwk, 6w5wyari2p4bh2zzy2x2f6hg5, diod1hv5hv7v7z7mfleev1txx, 39gif4xfy8xddarasbsad56ok, 14qv8npo5alwnb5dud8x82ln8, i48mf81fxn2af1xxjzfi8gr9, 39c5g6782qlrtw55fsre7exnt, 3jln1gzc0859ymphvq83i0mp5, atj6u4qul0o2ca57etbmes07o, 4kob1sqi695a8rwn3r3d2a6ms",5455285021,197,239,5455285013,59,"1, 17, 23, 6, 14, 22, 11, 8, 9, 5, 7, 13, 26, 4, 10, 15, 16, 19, 20, 21, 35, 39",5455285017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2765121847,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-12T17:56:53.864Z,2025-01-12T21:07:26Z,5455289985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5455289979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5455289981,194,2wl6h1rlrfnn2mr65vuo3t815,5455289971,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 2wl6h1rlrfnn2mr65vuo3t815, awsod0zmnrukk21d4882ji7e1, 2szgrzcosfeifh664tgt3mfvt, 4mxx1oxkiexm0ha34utcmb17t, 9f0jk3wgmlnnmnqrdkh4gnpt6, cjll1xrw3xulnl23c9tlf6rys, 4gq1u1mqg0qzekh1u5djleeax, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, yhipl27kpzoq85sizfyzmvx0, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5455289975,59,"25, 23, 3, 8, 2, 5, 19, 17, 9, 6, 11, 4, 7, 13, 18, 16, 20, 21, 24, 26, 32, 35",5455289983,197,25285,5455289977,130,8,5455289973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156259,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-12T19:00:22.227Z,2025-01-12T19:00:22Z,5455475923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156275,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2025-01-12T19:00:22.227Z,2025-01-13T13:46:42Z,5455476005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2765156329,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.1,2025-01-12T19:00:22.228Z,2025-01-12T19:05:12Z,5455476289,213,2.62,5455476291,279,S,5455476281,56,Back,5455476285,141,58.8,5455476283,140,40.1,5455476287,212,11.9,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156349,4,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,39.9,59.4,2025-01-12T19:00:27.797Z,2025-01-12T19:00:29Z,5455476373,212,31.1,5455476369,140,44.3,5455476371,141,14.2,5455476375,213,4.86,5455476367,56,Back,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156369,5,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,44.3,13.3,2025-01-12T19:00:29.525Z,2025-01-12T19:00:31Z,5455476539,141,24.4,5455476537,140,52.5,5455476535,56,Center,5455476541,212,11.5,5455476543,213,0.72,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156395,6,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,53.2,22.4,2025-01-12T19:00:30.948Z,2025-01-12T19:00:33Z,5455476723,56,Right,5455476727,141,8.2,5455476725,140,61,5455476729,212,12.7,5455476731,213,5.42,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156423,7,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,62.2,7.7,2025-01-12T19:00:33.397Z,2025-01-12T19:00:35Z,5455476881,141,33.7,5455476885,213,1.9,5455476879,140,56.5,5455476883,212,18.7,5455476877,56,Center,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2765156457,8,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,54.6,40.5,2025-01-12T19:00:35.477Z,2025-01-12T19:05:44Z,5455477085,213,1.85,5455477079,140,49.3,5455477081,141,68.7,5455477077,56,Back,5455477083,212,20,,,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
