id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/9/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,teamName
2722552549,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-19T17:49:13.455Z,2024-09-19T18:43:52Z,5223288993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5223288991,194,2e55g4q93y382cg7h0yk5rtud,5223288985,59,"1, 23, 3, 24, 2, 5, 19, 17, 9, 8, 11, 13, 26, 10, 14, 18, 32, 35, 36, 39, 41, 42, 7",5223288987,130,8,5223288989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5223383569,197,26091,5223288981,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ggz7e009bq3yltc9o6mifbah, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 4ftlhtels58lyzfluwofzwxuy, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, yhipl27kpzoq85sizfyzmvx0, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84, 9sanzxzkj52vz1mqj1d7g08b8, 2szgrzcosfeifh664tgt3mfvt",5223288983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722553309,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2024-09-19T17:52:02.188Z,2024-09-19T19:02:49Z,5223384117,197,25309,5223292759,30,"a1q3mystvi6gkv7tjrn75kw6h, f065kc6qn2cpxjxcm6i08rz3e, adb8skc3qbvgunhzd9651lij8, 8eq4c5cotvem9ae9uzb2yezo4, cm0gwoyh5rdb216fx685a7l5h, 2r1u01vlym0nwcwx86bwbuusq, 8vhjmcgjbzpzd4vv3zb945p1w, 2jc6sdkse1kxjztsgystidot1, dkve6gf309h5tglwawqx8mlzp, csvqjyuk06gzvjm408513nydx, rn17zrbsh1g9r1tj4xyvhgr8, 4pmycbnp280icyighs4tyzwno, 2e0o5pwinz3zhg9pqg5vej9ih, 28s6z18rcl9v8561yzu7m0voq, edti8t30h7ukwi3wqlzaczje1, 28x7i681wkjueanvkevew3bh1, 1o7se1aziz6fpes5hey7yijft, 4r5mejvmxk423kx5j3w4u3n6c, 7zru7o3jrzx66f5aa6kggyplg, 47zfdb0zeb03nvtjpom42j2ms, f5j3vhj805xtkos7l538u0d7t, d3pb7ybk0yv0hrjbr80vyx1xw",5223292765,130,8,5223292767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5223292771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5223292769,194,2jc6sdkse1kxjztsgystidot1,5223292761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5223292763,59,"16, 17, 2, 15, 5, 22, 11, 6, 36, 18, 7, 50, 4, 8, 9, 10, 12, 13, 20, 21, 27, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco
2722573731,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-09-19T19:01:06.556Z,2024-09-19T19:01:06Z,5223405585,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573737,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2024-09-19T19:01:06.556Z,2024-09-19T23:24:21Z,5223405609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco
2722573747,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.3,2024-09-19T19:01:06.634Z,2024-09-20T03:23:35Z,5223894621,178,,5223405675,141,53.3,5223405681,279,S,5223405679,213,3,5223405677,212,14.5,5223405673,140,36.2,5223405671,56,Back,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573749,4,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,36.2,53.3,2024-09-19T19:01:08.516Z,2024-09-20T03:23:42Z,5223894655,178,,5223405707,213,4.27,5223405703,141,40.1,5223405701,140,32.1,5223405699,56,Back,5223405705,212,10,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573755,5,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,32.1,40.1,2024-09-19T19:01:10.436Z,2024-09-20T03:23:46Z,5223405741,141,75.9,5223894679,178,,5223405743,212,24.7,5223405737,56,Back,5223405739,140,28.1,5223405745,213,1.74,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573771,6,1,1,0,6,agh9ifb2mw3ivjusgedj7c3fe,1,28.1,75.9,2024-09-19T19:01:12.710Z,2024-09-20T03:23:50Z,5223405807,56,Back,5223405809,140,35.3,5223894703,178,,5223405815,213,0.99,5223405811,141,92.9,5223405813,212,13.8,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573773,7,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,0,36.5,94.4,2024-09-19T19:01:14.989Z,2024-09-20T03:23:55Z,5223405831,1,,5223570695,155,,5223405825,141,90,5223405827,212,32.5,5223405829,213,6.19,5223894723,178,,5223405821,56,Left,5223405823,140,67.3,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2722573797,3,1,1,0,10,4t4hod56fsj7utpjdor8so5q6,0,29.4,7.9,2024-09-19T19:01:16.964Z,2024-09-20T03:24:00Z,5223405977,212,46,5223405979,213,6.14,5223405971,56,Right,5223405973,140,72.7,5223570559,155,,5223405981,1,,5223894739,388,,5223405975,141,0,f065kc6qn2cpxjxcm6i08rz3e,W. Singo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco
