id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2729144249,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-01T17:58:18.089Z,2024-10-01T20:00:46Z,5259271115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5259271113,130,8,5259271119,197,25285,5259271107,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 2wl6h1rlrfnn2mr65vuo3t815, 2szgrzcosfeifh664tgt3mfvt, 45twlfkhlvgcnzxp63nlvyluc, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy, 4jpwo30o4qp53k59oxvuj90k4, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84, 9sanzxzkj52vz1mqj1d7g08b8, yhipl27kpzoq85sizfyzmvx0",5259271109,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5259271117,194,2wl6h1rlrfnn2mr65vuo3t815,5259271121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5259271111,59,"13, 23, 3, 8, 2, 5, 19, 17, 9, 11, 7, 40, 10, 14, 18, 21, 32, 35, 36, 39, 41, 42, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729145025,1,34,16,0,0,5fd9f9bti2cdgb6r1lf8l2bc7,1,0,0,2024-10-01T18:00:07.607Z,2024-10-01T19:03:24Z,5259275379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5259275373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5259275383,197,7930,5259275375,59,"33, 27, 3, 30, 13, 4, 77, 10, 9, 7, 11, 26, 40, 8, 14, 15, 20, 21, 22, 24, 35, 39, 55",5259275385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5259275381,194,70knbl666fg2kyli67knr5l2h,5259275371,30,"bouvvppbgq3g24sltchjjk7l6, 5anxcfh8hvwdbdc162ekgr52i, dzh403ofb9zatvornq0svb0gk, 61r6igcudl4mbfr19doqr4n3d, 70knbl666fg2kyli67knr5l2h, ckcjk3zjpix288d6zihltlst0, 8oor1m6o9js5bby3qh5imf8d0, d6en8pyovfsfqfc4u67rkkwdl, dj7dvhoc6al5617f70paklk2d, 94md3wf5xab5mnj5niiwq33zd, 7aljb5yzbz7i7fe4jw39ld7xm, 2ppwybmbi0yf2xmkrxbabexn9, 6bcycpsby51mpdpotod0wfe1h, bp9cj8vjy70yygm99fwmoue0a, 11mfhxezbxlrha648ys9buoes, 597piziedxtrw505e19cvdm95, 2r3mojnewwtd6bts6w931ho15, 1zx0huwj0czivtoq6kvfb5roq, e0tmfkagd1lmf2hw7gctbaqqd, ac6r3yi7rzqlcih7qw86jsro4, ep1bhk6t6sudlhjjz20j199ed, 4ut6rl8f8cwct80cqg11ari3u, 5o1par7531o2wpp2z9jf4pkwk",5259275377,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729186463,3,43,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-01T19:00:37.309Z,2024-10-01T20:02:31Z,5259502697,279,S,5259502687,56,Back,5259502691,141,50,5259502689,140,44.8,5259502693,212,5.6,5259971517,144,1,5259971309,278,0,5259502695,213,3.14,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729186375,2,32,1,0,0,5fd9f9bti2cdgb6r1lf8l2bc7,1,0,0,2024-10-01T19:00:50.465Z,2024-10-01T19:00:52Z,5259502249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Boys
2729186423,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-01T19:00:50.465Z,2024-10-02T03:37:19Z,5259502505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729186775,4,43,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-10-01T19:00:50.466Z,2024-10-01T19:00:57Z,5259504465,140,42.9,5259504463,56,Back,5259504469,212,7.4,5259504471,213,3.23,5259504473,279,S,5259504475,278,0,5259505131,144,1,5259504467,141,49.3,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729271085,485,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,49.9,50.4,2024-10-01T19:00:50.475Z,2024-10-02T07:14:31Z,5259972421,279,S,5259972411,56,Back,5259972417,212,4.7,5260593333,178,,5259972419,213,3.24,5259972415,141,49.7,5259972413,140,45.4,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729186833,5,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,43.9,48.8,2024-10-01T19:00:51.814Z,2024-10-02T05:48:38Z,5259504797,212,16.4,5259504791,56,Back,5259504799,213,4.03,5259504795,141,30.1,5260593359,178,,5259504793,140,34,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187063,6,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,33.9,32.7,2024-10-01T19:00:53.945Z,2024-10-02T05:48:40Z,5259505951,212,22.3,5259505943,140,36.9,5259505941,56,Back,5259505955,213,1.43,5259505947,141,65.2,5260593379,178,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729187221,7,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,55.8,56.6,2024-10-01T19:01:03.486Z,2024-10-02T05:48:44Z,5259506851,140,76.9,5259506857,213,5.28,5259506849,56,Right,5259506859,1,,5260593405,178,,5259506847,155,,5259506855,212,41,5259506853,141,5.8,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
