id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2744982045,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-06T18:56:02.616Z,2024-11-06T18:58:12Z,5345821079,59,"13, 23, 35, 17, 2, 5, 19, 21, 9, 8, 11, 25, 26, 3, 6, 10, 14, 16, 18, 20, 32, 36",5345821081,130,8,5345821075,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 3hht0os2uzu234yq550i3fbe2, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, 4ftlhtels58lyzfluwofzwxuy, 2wl6h1rlrfnn2mr65vuo3t815, 6ofu6yc2qwp5ii9cerdq1tk9h, yhipl27kpzoq85sizfyzmvx0, bzgh5psb1janz9y3btpswngbu, eb3ci3a120om80v80mobsus8a, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, 8xjdsfk5u7wph4o7h1w45dses, 4jpwo30o4qp53k59oxvuj90k4",5345821085,194,ezviixcyaaj162saxs2yl27s9,5345821089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5345821077,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5345821083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5345821087,197,26091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2744982143,1,34,16,0,0,81lpho34qr3dad0xzalq0abja,1,0,0,2024-11-06T18:56:52.298Z,2024-11-06T20:30:27Z,5345821699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5345821695,194,b327g29wiilzcv606v54g8pud,5345821691,130,5,5345821685,30,"2unnytu55d7lvws7h3r86yhud, eifui3hrv21plt57hxo8dhl62, cj3fd7djmm3m1lvxoyzq0onh1, 3v1fnp5e9pxfzgou5ebrgprrp, ecowfx5iwg3lw9pn3x7tn1gr8, b327g29wiilzcv606v54g8pud, 9fd19beamnr8qmhqdvzr7fcyy, 7nv0wf9kmny9w7p36ahdsitat, 4i0lhae9ggu7xzxg8on35qy95, daepbhdv5jmtsx45ov5vgnr2t, 1ghyb2ozmwm2o9bxzuxzw7yfo, bjgjaklncs9iobtzeaflqgb8, 5ke2uwwaoyzdd1f4ryyi2cv3e, 3oub3l3mryzafp6wobgjbgxjp, 9wabmo0s1815sxu5fdc7xpx49, d29kspi5hcnnl38om4ikn1xck, 6lfy9bkrwcqxftdvotjpf2j8p, 65je30iyno0ea0yylc355o3jd, 86b832s2snkdxxfh3ms1zdqzt, 8zx7blw00uknirnx7rv98vb4k",5345821689,59,"1, 66, 23, 6, 24, 5, 15, 21, 9, 8, 55, 28, 77, 10, 22, 25, 27, 32, 33, 73",5345821697,197,24286,5345821693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5345821687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Star Belgrade
2745000397,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-06T20:02:07.515Z,2024-11-06T20:02:07Z,5345919473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000399,2,32,1,0,0,81lpho34qr3dad0xzalq0abja,1,0,0,2024-11-06T20:02:07.515Z,2024-11-07T03:38:27Z,5345919499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Star Belgrade
2745000425,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50.2,49.7,2024-11-06T20:02:07.980Z,2024-11-07T07:07:55Z,5345919639,279,S,5345919635,212,8.1,5345919631,140,43.3,5345919637,213,2.69,5345919633,141,54.9,5346582969,178,,5345919629,56,Back,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000429,4,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,43.3,54.9,2024-11-06T20:02:09.177Z,2024-11-07T07:08:00Z,5345919659,140,40.5,5345919663,212,6.6,5345919661,141,63.6,5345919657,56,Back,5346583001,178,,5345919665,213,2.03,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000433,5,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,40.5,63.6,2024-11-06T20:02:10.599Z,2024-11-07T07:08:03Z,5346583017,178,,5345919677,213,4.33,5345919673,141,42.2,5345919671,140,35,5345919669,56,Back,5345919675,212,15.7,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000449,6,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,35.3,43.4,2024-11-06T20:02:12.773Z,2024-11-07T07:08:06Z,5345919771,212,15.3,5345919765,56,Back,5345919769,141,65.8,5345919773,213,1.47,5346583041,178,,5345919767,140,36.7,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000469,7,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,36.2,65.8,2024-11-06T20:02:16.490Z,2024-11-07T07:08:12Z,5346583077,178,,5345919901,212,17.2,5345919897,140,37.8,5345919903,213,4.81,5345919895,56,Back,5345919899,141,40.6,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2745000479,8,1,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,37.8,38.5,2024-11-06T20:02:19.187Z,2024-11-07T07:08:18Z,5345919989,212,36.3,5345919991,213,5.69,5345919985,140,66.4,5345919987,141,8.6,5345919983,56,Right,5345919993,1,,5346583115,178,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
