id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2752147843,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-26T18:48:46.809Z,2024-11-26T22:06:12Z,5385177407,197,25285,5384926433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5384926429,59,"13, 23, 35, 8, 2, 5, 11, 17, 9, 20, 16, 25, 31, 3, 6, 14, 18, 21, 24, 32, 36, 39, 41",5384926431,130,8,5384926435,194,2wl6h1rlrfnn2mr65vuo3t815,5384926427,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5384926425,30,"4mxx1oxkiexm0ha34utcmb17t, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, 2wl6h1rlrfnn2mr65vuo3t815, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, 4gq1u1mqg0qzekh1u5djleeax, cjll1xrw3xulnl23c9tlf6rys, 6ofu6yc2qwp5ii9cerdq1tk9h, 9s5uadkz3qy2nke745778dfys, bzgh5psb1janz9y3btpswngbu, eb3ci3a120om80v80mobsus8a, 5kodjbsarkql4vhs126p2vhwq, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 4jpwo30o4qp53k59oxvuj90k4, 8lztstifz0n0zx4ho11vbt1xw, b0ebh3wi3lwieb1z04ajxjz84",5384926437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752148583,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2024-11-26T18:51:09.729Z,2024-11-26T20:58:42Z,5384930901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5384930899,130,3,5385188385,197,25410,5384930895,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5384930905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5384930897,59,"40, 7, 22, 6, 5, 25, 45, 9, 17, 19, 8, 30, 50, 3, 10, 11, 14, 21, 23, 26, 28, 34",5384930893,30,"7h2icfuwy00ilm14dw5xyl5g5, ef2n7d6rysar49toiz2k3obth, qt2jl9zxkj4lxqzeydbb6hg5, 6uurhe88nry4hyelll8ifzd91, 7xd54eb65lg7zldvnyd58bq39, boeam163ur1t3ifq01px99xwp, 36yupk7p1vks4dbguw53xhucp, 8gkexxgf3pypshhqwg6ibp7o4, 36ylt0kjn7t0vajmelu4mbazu, am0pcyvtaws1i69jt09dgnsnp, 5lfki1zoxd4l96hjbr2rw3d2h, btm657ozudwbxx16twjs0vp49, vx70cbnvqmuix7jwgpvhgdn8, 7pd1rtu3x4tjacwmvuodib4oa, 32bc16sg6h58ajxigp7nl1ryt, e6se9kft2lf9hs92rof2pnn6c, bj37ny1s1gbbe4wrgyz1wag9h, 7c5uk1ts8jlu88p1x6wubuz8p, bvbebtykj45j3luvemk8yc4ph, 3ynh418z6f6bfjz674vs40f6x, 17q3e6g2gvlnpwnzf9d6a9eqd, cxa3j4u8eh5w947p1iba47yfo",5384930903,194,7xd54eb65lg7zldvnyd58bq39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752194787,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-26T20:00:38.816Z,2024-11-27T01:55:38Z,5385179987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752194753,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2024-11-26T20:00:38.816Z,2024-11-26T20:00:39Z,5385179815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752194817,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50,50,2024-11-26T20:00:38.882Z,2024-11-27T02:13:40Z,5385180083,141,46.6,5385180079,56,Back,5385180085,212,22.6,5385180087,213,3.24,5385180081,140,28.6,5386000017,178,,5385180089,279,S,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752194929,4,1,1,0,2,3adj8hkws0z1al232bg2h6tk0,1,30.9,46.9,2024-11-26T20:00:41.329Z,2024-11-27T02:13:46Z,5385180683,140,72.8,5385180679,157,,5386000105,178,,5385180689,213,0.5,5385180681,56,Left,5385180691,1,,5385180687,212,50.1,5385180685,141,82,7xd54eb65lg7zldvnyd58bq39,B. Chardonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752194989,6,61,1,0,5,3adj8hkws0z1al232bg2h6tk0,0,72.8,82,2024-11-26T20:00:44.609Z,2024-11-27T02:14:03Z,5386000549,15,,5386000551,388,,5385180999,56,Left,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752194983,5,43,1,0,7,3adj8hkws0z1al232bg2h6tk0,1,0,0,2024-11-26T20:00:46.300Z,2024-11-26T20:01:11Z,5385180961,286,0,5385180959,56,Left,5385183499,144,44,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
2752195125,3,5,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,-0.6,12.8,2024-11-26T20:00:50.609Z,2024-11-27T02:14:05Z,5385181709,233,7,5385181669,56,Back,5385181671,346,,,,,,,,,,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2752195007,7,5,1,0,11,3adj8hkws0z1al232bg2h6tk0,0,100.6,87.2,2024-11-26T20:00:50.609Z,2024-11-27T02:14:06Z,5385181057,56,Left,5385181741,233,3,5385181059,346,,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brest
