id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value,teamName
2767646629,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2025-01-21T18:52:21.244Z,2025-01-21T19:51:48Z,5468870955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5468870961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5468870959,130,4,5468870953,30,"3i53phcjc5vwe7i0m9pqjo3fu, as0t8xi6k6nl4l06g23u3jcru, a4kw8u4dqsslfwe1ux08lbmc, 5t952swvuoed4pdwgbi4yjhex, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, 4dh4ws8ehn6uywozt6ygczs2d, djbw3afgcgkbq22soig0xsjfu, 7sd87ylfbtgwgpb70hf68cel1, 2z9h8lozjzxk4ah6ysho9hotl, f4p22zbcs9l5dwhvqg6wstmcq, chfqy504a1mnfs67pbdbk0jfu, 9j0v9bomstpbku7nnmqp8n7c9, 5wqrzi7ar39jpu6mn8a67ngiy, 4mk6bbc9a8rhtmk8f4jj6onvt, 7glxasv2ed6ey82dknto1y66t, l469vtpe0jbgg5sq1v2e67e1, 6pavdf2072176dag5nt8qni8k, dh3j589mllxd8rk32dw1rru95, 6a0w73agnkslcc6gea1jxxzvt, 1n84autgk6ilhgv5jnlu2sf84, 8g23yqn52zuls4vk273t55ht6, 82o91md3nn11eckmgy749ewpg",5468939679,197,24488,5468870957,59,"1, 44, 3, 61, 4, 30, 8, 10, 14, 17, 21, 24, 6, 7, 9, 11, 18, 25, 32, 37, 60, 81, 84",5468870965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5468870963,194,x32fbvwwxkda9ruezw67b3dh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767647281,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-21T18:55:29.999Z,2025-01-21T19:57:46Z,5468874671,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, awsod0zmnrukk21d4882ji7e1, bkwxem45cf48k14euwqe7rs44, abr79wsl0folgkyvl821ggs2c, 3hht0os2uzu234yq550i3fbe2, afxjicw89683nlpms9yy5x51x, eb3ci3a120om80v80mobsus8a, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, cjll1xrw3xulnl23c9tlf6rys, 9f0jk3wgmlnnmnqrdkh4gnpt6, ezviixcyaaj162saxs2yl27s9, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5468874681,194,awsod0zmnrukk21d4882ji7e1,5468874677,130,8,5468874683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5468874673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5468955107,197,26091,5468874679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5468874675,59,"25, 23, 3, 8, 4, 2, 19, 17, 9, 6, 11, 13, 31, 7, 10, 14, 15, 16, 18, 21, 24, 32, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664049,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-01-21T20:01:41.015Z,2025-01-21T20:01:44Z,5468966985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664029,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2025-01-21T20:01:41.015Z,2025-01-22T00:38:01Z,5468966929,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767664071,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-01-21T20:01:41.083Z,2025-01-22T05:00:10Z,5468967111,213,2.87,5468967103,56,Back,5468967109,212,8.5,5468967105,140,42.2,5468967107,141,53.3,5469451161,178,,5468967113,279,S,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664089,4,1,1,0,1,agh9ifb2mw3ivjusgedj7c3fe,1,42.1,52.4,2025-01-21T20:01:42.673Z,2025-01-22T05:00:17Z,5468967227,56,Back,5468967231,141,37.9,5468967229,140,31.5,5468967233,212,14.9,5468967235,213,3.87,5469451177,178,,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664105,5,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,31.6,39.5,2025-01-21T20:01:44.230Z,2025-01-22T05:00:20Z,5468967337,140,35.1,5468967335,56,Back,5468967343,213,1.37,5468967339,141,65.7,5468967341,212,18.2,5469451189,178,,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664115,6,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,35.9,68.4,2025-01-21T20:01:46.819Z,2025-01-22T05:00:29Z,5468967397,141,91.8,5468967399,212,16.5,5468967395,140,40.1,5469451221,178,,5468967393,56,Back,5468967401,213,1.3,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664147,7,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,39.8,91.4,2025-01-21T20:01:48.184Z,2025-01-22T05:00:36Z,5468967575,212,12.3,5468967573,141,82.4,5468967577,213,3.66,5468967569,56,Back,5469451245,178,,5468967571,140,29.6,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664153,8,1,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,0,29.6,82.4,2025-01-21T20:01:49.802Z,2025-01-22T05:00:42Z,5469451263,178,,5468967617,213,0.17,5468967613,141,91.1,5468967615,212,35.3,5468967619,1,,5468967609,56,Left,5468967611,140,62.7,5468967607,157,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
