id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/18/value,qualifier/19/value,teamName
2798633647,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-09T17:52:25.395Z,2025-04-09T18:58:23Z,5638286413,194,ezviixcyaaj162saxs2yl27s9,5638286415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638286407,59,"25, 23, 3, 8, 2, 5, 19, 21, 9, 16, 11, 13, 31, 4, 6, 7, 10, 14, 15, 18, 24, 32, 35",5638286403,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, cjll1xrw3xulnl23c9tlf6rys, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, awsod0zmnrukk21d4882ji7e1, eb3ci3a120om80v80mobsus8a, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5638286405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5638286411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638286409,130,8,5638364611,197,25285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798634093,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2025-04-09T17:55:01.524Z,2025-04-09T21:07:43Z,5638367473,197,25589,5638289373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638289371,130,5,5638289377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5638289367,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5638289369,59,"1, 26, 5, 10, 23, 3, 43, 17, 9, 8, 27, 33, 35, 2, 6, 7, 14, 16, 24, 25, 38, 42",5638289375,194,7lai6ovwsl01gonutejt4mms5,5638289365,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798647835,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2025-04-09T19:01:15.005Z,2025-04-09T19:01:15Z,5638369131,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798647849,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-09T19:01:15.005Z,2025-04-10T04:25:30Z,5638369191,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798647873,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,50.2,50.4,2025-04-09T19:01:15.033Z,2025-04-10T04:35:59Z,5638369275,140,31,5638369279,212,20.2,5638369281,213,3.19,5638369277,141,49.1,5638369283,279,S,5638369273,56,Back,5639056639,178,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798647935,4,1,1,0,3,dt4pinj0vw0t0cvz7za6mhmzy,0,31.8,49.1,2025-04-09T19:01:18.393Z,2025-04-10T05:25:34Z,5638369593,140,99.5,5638369595,141,100,5638369601,1,,5638369599,213,0.46,5639056645,178,,5638369589,157,,5638369591,56,Left,5638369597,212,79.3,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648039,3,5,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,1.2,-0.8,2025-04-09T19:01:24.887Z,2025-04-10T04:36:05Z,5638370073,347,,5638370075,233,5,5638370071,56,Back,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798647943,5,5,1,0,9,dt4pinj0vw0t0cvz7za6mhmzy,0,98.8,100.8,2025-04-09T19:01:24.887Z,2025-04-10T04:36:05Z,5638370079,233,3,5638369631,56,Left,5638369633,347,,,,,,,,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2798648049,4,1,1,0,21,agh9ifb2mw3ivjusgedj7c3fe,0,2.9,0,2025-04-09T19:01:36.757Z,2025-04-10T04:36:10Z,5638370129,1,,5638370125,212,23.8,5638370121,140,24.7,5638370127,213,0.28,5638370117,107,,5638370123,141,8,5638370119,56,Back,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2798648071,6,1,1,0,23,dt4pinj0vw0t0cvz7za6mhmzy,1,62.4,81.2,2025-04-09T19:01:38.694Z,2025-04-10T04:36:13Z,5638370253,213,6.18,5639056667,388,,5638370243,3,,5638370247,140,81.1,5638370249,141,78.2,5638370245,56,Center,5638370251,212,19.7,,,,6384gzzxuxs6pvmrn8qx4d7u1,F. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
