id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/12/value,assist,qualifier/20/value,teamName
2801701893,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-15T17:51:23.374Z,2025-04-15T19:00:19Z,5655123815,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5655123825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5655123817,59,"25, 23, 35, 6, 4, 2, 19, 21, 9, 16, 11, 13, 31, 5, 7, 8, 10, 14, 15, 18, 20, 24, 32",5655182643,197,25285,5655123819,130,8,5655123813,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, 6l1y87tlepsvr83d8y2qifeqy, eb3ci3a120om80v80mobsus8a, awsod0zmnrukk21d4882ji7e1, bkwxem45cf48k14euwqe7rs44, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, cjll1xrw3xulnl23c9tlf6rys, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, cd5napttmwk5o9gxw3cbb4ted, 2szgrzcosfeifh664tgt3mfvt, 4ftlhtels58lyzfluwofzwxuy, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, 1av9mmv19jwvc4xdr0p9owyxh, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4gq1u1mqg0qzekh1u5djleeax, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses",5655123823,194,awsod0zmnrukk21d4882ji7e1,5655123821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801702365,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2025-04-15T17:53:15.790Z,2025-04-15T19:03:14Z,5655126461,194,9rjd95oqotnalxmv56v7p1r6d,5655126463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5655126459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5655126451,30,"9rjd95oqotnalxmv56v7p1r6d, ay89se5rytzay8md0yeadykq2, c9e54hwefvwos94ri459uylbe, dqrzogrwznyks6whhfhq748ut, 3uqn1adw8rarez1gpen9vng7p, 4vy3j1o829f561jf4fqum7ob9, 6384gzzxuxs6pvmrn8qx4d7u1, 3k6znit6fd9mbfcnphlwyvj6d, bmrdtenqr84jt4gmw6i7wez11, xuk3qlmk4985hs8ocjjd49ka, ebj6t5jqzixrnww1z7qofznu2, 2jrntrq2x714pviioh3jnkted, 4u4lkw0zq671i7p9agoa57x7t, emvi36y613e4lqlat3wfdih9l, 2we9yak4ipkr1ljigj20puv6y, f4qcgzveslklfi8601tep77x1, e2w5cj66plnx3kuhnehgswsus, cl6720rdjeubt0bc3su0qg3qh, 2ddhjp7d5sagi9cnwaszy8178, ec6zx0pyq0bggng1m3k6iq51w, brr1dv5rqwqmy0rqmvstmgnpw, c2mwg1uhug0pbgl72uf9b927e",5655126453,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5655172143,197,25589,5655126455,59,"1, 2, 24, 5, 3, 25, 8, 13, 9, 14, 27, 33, 35, 6, 7, 10, 16, 26, 38, 39, 42, 43",5655126457,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801712609,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-04-15T19:03:08.461Z,2025-04-15T19:03:10Z,5655187161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712611,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2025-04-15T19:03:08.461Z,2025-04-16T01:02:31Z,5655187163,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Dortmund
2801712617,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50,50,2025-04-15T19:03:08.501Z,2025-04-16T03:07:30Z,5655187187,141,49.4,5655187185,140,36.9,5655187183,56,Back,5655873747,178,,5655187193,279,S,5655187191,213,3.17,5655187189,212,13.8,,,,cjll1xrw3xulnl23c9tlf6rys,Fermín López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712635,4,1,1,0,2,agh9ifb2mw3ivjusgedj7c3fe,1,37.2,48.7,2025-04-15T19:03:11.262Z,2025-04-16T03:07:36Z,5655187299,140,31.4,5655187303,212,15.5,5655873837,178,,5655187301,141,27.8,5655187297,56,Back,5655187305,213,4.31,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712651,5,1,1,0,4,agh9ifb2mw3ivjusgedj7c3fe,1,31.4,27.8,2025-04-15T19:03:13.422Z,2025-04-16T03:07:46Z,5655187383,56,Back,5655874027,178,,5655187389,212,7,5655187391,213,0.33,5655187387,141,31.1,5655187385,140,37.7,,,,,,,awsod0zmnrukk21d4882ji7e1,Ronald Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712663,6,1,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,38.1,34.1,2025-04-15T19:03:15.542Z,2025-04-16T03:07:50Z,5655187467,213,1.86,5655187465,212,20.9,5655187459,56,Back,5655874123,178,,5655187463,141,63.6,5655187461,140,32.4,,,,,,,ezviixcyaaj162saxs2yl27s9,Frenkie de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712667,7,1,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,1,33.3,64.8,2025-04-15T19:03:18.302Z,2025-04-16T03:07:54Z,5655187509,141,89.4,5655187507,140,38.9,5655874185,178,,5655187513,213,1.23,5655187511,212,17.7,5655187505,56,Back,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2801712677,8,1,1,0,12,agh9ifb2mw3ivjusgedj7c3fe,1,35.4,84.9,2025-04-15T19:03:20.502Z,2025-04-16T03:08:00Z,5655187557,56,Back,5655187565,213,3.69,5655187559,140,27.3,5655187563,212,10,5655187561,141,77.3,5655874269,178,,,,,,,,6l1y87tlepsvr83d8y2qifeqy,Gerard Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
