id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,assist,teamName
2784347105,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2025-03-05T18:50:02.452Z,2025-03-05T21:03:10Z,5560022465,197,24488,5559897663,30,"3i53phcjc5vwe7i0m9pqjo3fu, as0t8xi6k6nl4l06g23u3jcru, a4kw8u4dqsslfwe1ux08lbmc, 4dh4ws8ehn6uywozt6ygczs2d, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, l469vtpe0jbgg5sq1v2e67e1, djbw3afgcgkbq22soig0xsjfu, 7sd87ylfbtgwgpb70hf68cel1, 2z9h8lozjzxk4ah6ysho9hotl, f4p22zbcs9l5dwhvqg6wstmcq, chfqy504a1mnfs67pbdbk0jfu, 4mk6bbc9a8rhtmk8f4jj6onvt, 97mmzzi3dwdos6jtj2m05w4ph, 6pavdf2072176dag5nt8qni8k, 5i2tc06romjqx7a7wlu1iye7e, 1n84autgk6ilhgv5jnlu2sf84, 1orxuwwmw6m5647h08t6ym3o4, 8g23yqn52zuls4vk273t55ht6, 82o91md3nn11eckmgy749ewpg, 2ub88jcc3vku6mrnt5fb3oyqd, 7qn3h79plsslojw5d2w347wx6, 79izrssq50jjzhapj4ekmv95g",5559897673,194,x32fbvwwxkda9ruezw67b3dh,5559897675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559897667,59,"1, 44, 3, 8, 4, 30, 18, 10, 14, 17, 21, 24, 9, 19, 25, 26, 60, 71, 81, 84, 85, 86, 79",5559897665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5559897671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559897669,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784347821,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-05T18:51:58.549Z,2025-03-05T19:57:02Z,5559901685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559901689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5560020939,197,26091,5559901681,59,"25, 23, 3, 8, 2, 5, 19, 21, 9, 20, 11, 13, 31, 4, 7, 10, 14, 16, 17, 18, 24, 32, 35",5559901687,194,ezviixcyaaj162saxs2yl27s9,5559901677,30,"6ofu6yc2qwp5ii9cerdq1tk9h, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, 4ftlhtels58lyzfluwofzwxuy, bkwxem45cf48k14euwqe7rs44, cd5napttmwk5o9gxw3cbb4ted, abr79wsl0folgkyvl821ggs2c, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, 4gq1u1mqg0qzekh1u5djleeax, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, 9s5uadkz3qy2nke745778dfys, awsod0zmnrukk21d4882ji7e1, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, 5kodjbsarkql4vhs126p2vhwq, cjll1xrw3xulnl23c9tlf6rys, 3hht0os2uzu234yq550i3fbe2, 9f0jk3wgmlnnmnqrdkh4gnpt6, 4ggz7e009bq3yltc9o6mifbah, 8xjdsfk5u7wph4o7h1w45dses, 6l1y87tlepsvr83d8y2qifeqy",5559901683,130,8,5559901679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2784369591,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2025-03-05T20:00:35.936Z,2025-03-05T22:40:02Z,5560023477,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784369597,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2025-03-05T20:00:35.936Z,2025-03-05T20:00:36Z,5560023503,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2784369613,3,1,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,49.9,50.2,2025-03-05T20:00:35.937Z,2025-03-05T20:00:39Z,5560023563,56,Back,5560023567,141,56.5,5560023573,279,S,5560023565,140,33.1,5560023571,213,2.9,5560023569,212,18.2,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784369629,4,1,1,0,3,9ldqu49smv1xg2va0n2cy28zl,1,32.7,55,2025-03-05T20:00:39.557Z,2025-03-05T20:00:43Z,5560023637,140,37.4,5560023639,141,21.1,5560023641,212,23.6,5560023635,56,Back,5560023643,213,4.92,,,,,,,,,,x32fbvwwxkda9ruezw67b3dh,N. Otamendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784369643,5,1,1,0,7,9ldqu49smv1xg2va0n2cy28zl,1,37.6,20.4,2025-03-05T20:00:43.390Z,2025-03-05T20:00:45Z,5560023695,56,Center,5560023705,1,,5560023699,141,27.9,5560023693,157,,5560023701,212,29.1,5560023697,140,64.9,5560023703,213,0.18,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784369645,6,44,1,0,9,9ldqu49smv1xg2va0n2cy28zl,1,69.1,31.8,2025-03-05T20:00:45.130Z,2025-03-05T20:24:16Z,5560023737,233,3,5560023715,286,,5560023713,56,Center,,,,,,,,,,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2784369639,3,44,1,0,9,agh9ifb2mw3ivjusgedj7c3fe,0,30.9,68.2,2025-03-05T20:00:45.131Z,2025-03-05T20:24:17Z,5560023781,233,6,5560023685,56,Back,5560023687,285,,,,,,,,,,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2784369657,7,1,1,0,9,9ldqu49smv1xg2va0n2cy28zl,0,65.4,28.1,2025-03-05T20:00:45.830Z,2025-03-05T20:00:47Z,5560023821,3,,5560023833,213,5.91,5560023827,140,78,5560023825,56,Right,5560023829,141,20.4,5560023831,212,14.2,5560023823,168,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
